file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/services/spark-shell-service/spark-shell-rest-model/src/main/java/com/thinkbiganalytics/spark/rest/model/SimpleResponse.java,com.thinkbiganalytics.spark.rest.model.SimpleResponse$Status,enum,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/services/feed-manager-service/feed-manager-controller/src/main/java/com/thinkbiganalytics/feedmgr/util/UniqueIdentifier.java,com.thinkbiganalytics.feedmgr.util.UniqueIdentifier,class,2,4,2,2,3,1,0,2,1,0.77777785,0.33333334,0.33333334,3,2,3,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,13,2,0,0,0,0,1,1,3,0,3,0,0,0,0,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/security/security-auth-file/src/main/java/com/thinkbiganalytics/auth/file/FileAuthConfig.java,com.thinkbiganalytics.auth.file.FileAuthConfig,class,10,11,1,10,12,1,0,25,4,0.5,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,7,0,0,7,0,0,0,0,4,53,2,0,0,1,0,33,10,10,1,17,1,0,0,0,75,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/integrations/nifi/nifi-savepoint/nifi-savepoint-message-api/src/main/java/com/thinkbiganalytics/nifi/savepoint/model/SavepointReplayEvent.java,com.thinkbiganalytics.nifi.savepoint.model.SavepointReplayEvent$Action,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/services/metadata-service/metadata-rest-model/src/main/java/com/thinkbiganalytics/metadata/rest/model/feed/FeedPrecondition.java,com.thinkbiganalytics.metadata.rest.model.feed.FeedPrecondition,class,6,14,8,6,7,1,0,3,9,0.71428573,0.2857143,0.2857143,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,1,0,1,28,1,0,0,0,0,4,1,4,1,3,0,0,0,0,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/jdbc/JdbcHighWaterMarkVisitor.java,com.thinkbiganalytics.kylo.catalog.spark.sources.jdbc.JdbcHighWaterMarkVisitor,class,7,9,2,7,2,2,0,2,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,3,0,0,13,1,0,0,0,0,1,1,3,0,3,0,0,0,0,41,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/plugins/spark-livy-server/src/main/java/com/thinkbiganalytics/kylo/spark/client/jersey/CustomApacheConnector.java,com.thinkbiganalytics.kylo.spark.client.jersey.CustomApacheConnector,class,55,58,3,55,65,5,0,129,86,0.875,0.25,0.35714287,16,4,6,9,0,1,8,0,0,0,9,4,0,9,0,0,8,0,20,377,19,2,21,4,5,30,8,74,4,66,3,4,3,0,262,0,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/plugins/field-policy-default/src/main/java/com/thinkbiganalytics/policy/standardization/Base64Decode.java,com.thinkbiganalytics.policy.standardization.Base64Decode,class,8,9,1,8,8,1,0,4,4,0.75,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,38,5,0,0,1,3,10,0,8,0,5,2,0,1,0,51,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/services/feed-manager-service/feed-manager-controller/src/main/java/com/thinkbiganalytics/feedmgr/service/category/FeedManagerCategoryService.java,com.thinkbiganalytics.feedmgr.service.category.FeedManagerCategoryService,interface,5,12,7,5,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/metadata/metadata-modeshape/src/main/java/com/thinkbiganalytics/metadata/modeshape/catalog/datasource/JcrDataSource.java,com.thinkbiganalytics.metadata.modeshape.catalog.datasource.JcrDataSource,class,23,31,8,23,14,4,0,20,64,0.9166667,0.015151516,0.015151516,12,0,12,0,0,0,12,0,0,0,4,4,4,0,0,0,4,0,10,63,10,0,0,2,0,7,0,8,1,8,1,0,1,0,59,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/core/sla/sla-api/src/main/java/com/thinkbiganalytics/metadata/sla/spi/ObligationAssessor.java,com.thinkbiganalytics.metadata.sla.spi.ObligationAssessor,interface,3,4,1,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/core/operational-metadata/operational-metadata-jpa/src/main/java/com/thinkbiganalytics/metadata/jpa/sla/JpaServiceLevelAssessment.java,com.thinkbiganalytics.metadata.jpa.sla.JpaServiceLevelAssessment,class,25,31,6,25,20,3,0,17,131,0.8730159,0.07189543,0.07189543,18,0,18,0,0,0,18,0,0,0,7,0,0,7,0,0,0,0,2,93,11,1,1,0,0,6,2,14,0,11,1,0,1,0,65,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/services/service-app/src/main/java/com/thinkbiganalytics/rest/exception/ThrowableMapper.java,com.thinkbiganalytics.rest.exception.ThrowableMapper,class,7,9,2,7,2,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,13,1,0,0,0,0,2,0,2,0,2,1,0,0,0,21,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/metadata/metadata-core/src/main/java/com/thinkbiganalytics/metadata/core/dataset/InMemoryDatasourceProvider.java,com.thinkbiganalytics.metadata.core.dataset.InMemoryDatasourceProvider$DatasetCriteriaImpl,innerclass,7,7,0,7,17,2,0,8,11,0.71428573,0.23809524,0.71428573,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,0,48,12,0,5,0,0,0,0,5,0,5,1,0,0,0,20,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/commons/commons-security/src/main/java/com/thinkbiganalytics/security/AnonymousPrincipal.java,com.thinkbiganalytics.security.AnonymousPrincipal,class,1,2,1,1,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,15,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/services/operational-metadata-service/operational-metadata-integration-service/src/main/java/com/thinkbiganalytics/metadata/cache/DataConfidenceJobsCache.java,com.thinkbiganalytics.metadata.cache.DataConfidenceJobsCache,class,19,24,5,19,13,1,0,29,28,0.8585859,0.14285715,0.14285715,9,0,7,2,0,0,7,0,0,0,11,1,0,10,0,1,3,0,2,88,11,0,3,0,0,2,1,12,0,17,3,1,2,3,66,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/samples/provenance-samples/spark-provenance-app/src/main/java/com/example/spark/provenance/SparkProvenanceConfiguration.java,com.example.spark.provenance.SparkProvenanceConfiguration$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/services/feed-manager-service/feed-manager-controller/src/main/java/com/thinkbiganalytics/feedmgr/service/datasource/DatasourceModelTransform.java,com.thinkbiganalytics.feedmgr.service.datasource.DatasourceModelTransform$Level,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/metadata/metadata-api/src/main/java/com/thinkbiganalytics/metadata/api/event/sla/ServiceLevelAgreementChange.java,com.thinkbiganalytics.metadata.api.event.sla.ServiceLevelAgreementChange,class,4,7,3,4,8,2,0,8,0,0.42857146,0.95238096,1.0,7,0,7,0,0,0,7,0,0,0,3,1,0,3,0,0,3,0,3,35,6,0,0,0,0,6,1,5,0,5,1,0,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/metadata/metadata-api/src/main/java/com/thinkbiganalytics/metadata/api/event/MetadataEventListener.java,com.thinkbiganalytics.metadata.api.event.MetadataEventListener,interface,2,10,8,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/plugins/field-policy-default/src/main/java/com/thinkbiganalytics/policy/validation/CreditCardValidator.java,com.thinkbiganalytics.policy.validation.CreditCardValidator,class,4,5,1,4,2,2,0,0,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,9,1,0,0,0,0,3,0,1,0,1,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/services/metadata-service/metadata-rest-model/src/main/java/com/thinkbiganalytics/metadata/rest/model/feed/FeedSource.java,com.thinkbiganalytics.metadata.rest.model.feed.FeedSource,class,7,13,6,7,10,1,0,0,35,0.8333333,0.11111111,0.11111111,10,0,10,0,0,0,10,0,0,0,6,1,0,6,0,0,1,0,0,38,5,0,0,0,0,0,1,6,0,6,0,0,0,0,28,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/integrations/nifi/nifi-nar-bundles/nifi-hadoop-bundle/nifi-hadoop-processors/src/main/java/com/thinkbiganalytics/nifi/v2/hdfs/AbstractHadoopProcessor.java,com.thinkbiganalytics.nifi.v2.hdfs.AbstractHadoopProcessor$HdfsResources,innerclass,3,3,0,3,4,1,0,0,0,0.5,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,12,12,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/ui/ui-app/src/main/java/com/thinkbiganalytics/ui/AngularParams.java,com.thinkbiganalytics.ui.AngularParams,class,0,0,0,0,6,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,18,0,1,4,0,0,9,2,6,2,3,3,0,0,0,19,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/kylo/../../kylo/integrations/nifi/nifi-nar-bundles/nifi-hadoop-bundle/nifi-hadoop-processors/src/main/java/com/thinkbiganalytics/nifi/v2/hdfs/RemoveHDFSFolder.java,com.thinkbiganalytics.nifi.v2.hdfs.RemoveHDFSFolder,class,15,17,2,15,13,5,2,27,4,0.6875,0.16666667,0.16666667,4,0,2,0,2,0,4,0,0,0,4,4,3,1,0,0,4,0,0,59,9,1,2,1,0,20,0,9,6,9,3,0,0,0,95,1,6
