file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,"map/1[java.util.function.Function<? super V,? extends R>]",score,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,"ScoredValue/2[double,V]",score,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,"mapScore/1[java.util.function.Function<? super java.lang.Number,? extends java.lang.Number>]",score,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,"from/2[double,java.util.Optional<T>]",score,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,equals/1[java.lang.Object],score,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,getScore/0,score,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,empty/0,EMPTY,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,"just/2[double,T]",score,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,ScoredValue/0,score,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lettuce-core/../../lettuce-core/src/main/java/io/lettuce/core/ScoredValue.java,io.lettuce.core.ScoredValue,hashCode/0,score,1
