file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/sqlgenerator/SqlGeneratorChain.java,liquibase.sqlgenerator.SqlGeneratorChain,SqlGeneratorChain/1[java.util.SortedSet<liquibase.sqlgenerator.SqlGenerator<T>>],sqlGenerators,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/sqlgenerator/SqlGeneratorChain.java,liquibase.sqlgenerator.SqlGeneratorChain,"generateSql/2[T,liquibase.sqlgenerator.Database]",sqlGenerators,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/sqlgenerator/SqlGeneratorChain.java,liquibase.sqlgenerator.SqlGeneratorChain,"warn/2[T,liquibase.sqlgenerator.Database]",sqlGenerators,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/sqlgenerator/SqlGeneratorChain.java,liquibase.sqlgenerator.SqlGeneratorChain,"validate/2[T,liquibase.sqlgenerator.Database]",sqlGenerators,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/parser/NamespaceDetailsFactory.java,liquibase.parser.NamespaceDetailsFactory,unregister/1[liquibase.parser.NamespaceDetails],namespaceDetails,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/parser/NamespaceDetailsFactory.java,liquibase.parser.NamespaceDetailsFactory,getInstance/0,instance,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/parser/NamespaceDetailsFactory.java,liquibase.parser.NamespaceDetailsFactory,"getNamespaceDetails/2[liquibase.parser.LiquibaseParser,java.lang.String]",namespaceDetails,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/parser/NamespaceDetailsFactory.java,liquibase.parser.NamespaceDetailsFactory,register/1[liquibase.parser.NamespaceDetails],namespaceDetails,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/parser/NamespaceDetailsFactory.java,liquibase.parser.NamespaceDetailsFactory,"getNamespaceDetails/2[liquibase.serializer.LiquibaseSerializer,java.lang.String]",namespaceDetails,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/liquibase/../../liquibase/liquibase-standard/src/main/java/liquibase/parser/NamespaceDetailsFactory.java,liquibase.parser.NamespaceDetailsFactory,getNamespaceDetails/0,namespaceDetails,1
