file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,class,9,10,1,9,17,2,0,23,51,0.87500006,0.044444446,0.06666667,11,1,1,1,8,1,10,0,0,0,8,5,1,7,0,0,8,0,3,90,6,2,1,3,0,7,3,19,12,18,2,0,0,0,102,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/PutFlags.java,org.lmdbjava.PutFlags,enum,0,2,2,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,15,1,0,0,0,0,0,7,1,0,1,0,0,0,0,71,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ReferenceUtil.java,org.lmdbjava.ReferenceUtil,class,1,3,2,1,3,1,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,0,0,0,0,2,0,0,0,103,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/Txn.java,org.lmdbjava.Txn$TxFullException,innerclass,1,1,0,1,1,6,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,2,0,1,0,1,2,0,0,7,0,0,0,0,0,1,2,2,0,2,0,0,0,0,26,25,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType$CursorOp,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/SeekOp.java,org.lmdbjava.SeekOp,enum,0,1,1,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,23,1,0,0,0,0,0,15,1,0,1,0,0,0,0,67,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,innerclass,1,1,0,1,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,2,0,0,2,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,38,25,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,enum,5,9,4,5,66,1,0,3,15,0.7142857,0.1904762,0.33333334,7,0,3,0,0,4,7,0,0,0,3,0,0,3,0,0,3,0,1,156,47,0,4,0,0,4,21,3,0,3,1,0,2,0,160,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/LmdbNativeException.java,org.lmdbjava.LmdbNativeException,class,2,30,28,2,2,35,42,1,0,0.5,1.0,1.0,2,0,1,0,0,1,2,0,1,0,2,1,0,2,0,0,2,0,1,52,1,0,0,0,0,1,1,2,1,2,0,0,6,0,40,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/Library.java,org.lmdbjava.Library$MDB_envinfo,innerclass,5,5,0,5,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,6,0,6,0,0,0,6,0,0,17,0,0,0,0,0,3,0,6,0,6,0,0,0,0,32,25,0
