file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,allocate/0,BUFFER_RETRIES,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,allocate/0,nettyAllocator,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,allocate/0,NAME,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,ByteBufProxy/1[org.lmdbjava.PooledByteBufAllocator],addressOffset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,ByteBufProxy/1[org.lmdbjava.PooledByteBufAllocator],nettyAllocator,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,ByteBufProxy/1[org.lmdbjava.PooledByteBufAllocator],FIELD_NAME_LENGTH,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,ByteBufProxy/1[org.lmdbjava.PooledByteBufAllocator],lengthOffset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,ByteBufProxy/1[org.lmdbjava.PooledByteBufAllocator],FIELD_NAME_ADDRESS,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,ByteBufProxy/1[org.lmdbjava.PooledByteBufAllocator],NAME,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"out/3[org.lmdbjava.ByteBuf,org.lmdbjava.Pointer,long]",addressOffset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"out/3[org.lmdbjava.ByteBuf,org.lmdbjava.Pointer,long]",lengthOffset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/PutFlags.java,org.lmdbjava.PutFlags,PutFlags/1[int],mask,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/PutFlags.java,org.lmdbjava.PutFlags,getMask/0,mask,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/Txn.java,org.lmdbjava.Txn$TxFullException,TxFullException/0,MDB_TXN_FULL,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/SeekOp.java,org.lmdbjava.SeekOp,getCode/0,code,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/SeekOp.java,org.lmdbjava.SeekOp,SeekOp/1[int],code,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,key/0,k,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,setV/1[T],v,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,val/0,v,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,setK/1[T],k,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"KeyRangeType/3[boolean,boolean,boolean]",stopKeyRequired,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"KeyRangeType/3[boolean,boolean,boolean]",directionForward,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"KeyRangeType/3[boolean,boolean,boolean]",startKeyRequired,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,isDirectionForward/0,directionForward,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",BACKWARD_GREATER_THAN,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",BACKWARD_CLOSED,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",BACKWARD_LESS_THAN,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",FORWARD_AT_LEAST,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",FORWARD_OPEN,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",FORWARD_CLOSED,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",BACKWARD_AT_MOST,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",BACKWARD_OPEN_CLOSED,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",BACKWARD_AT_LEAST,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",FORWARD_AT_MOST,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",FORWARD_CLOSED_OPEN,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",BACKWARD_ALL,1
