file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,allocate/0,false,98,1,1,1,0,3,5,12,1,2,0,5,0,0,1,0,0,0,1,1,2,1,2,0,0,0,23,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"compare/2[org.lmdbjava.ByteBuf,org.lmdbjava.ByteBuf]",false,110,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/3[org.lmdbjava.ByteBuf,org.lmdbjava.Pointer,long]",false,132,3,1,0,1,1,4,4,0,0,3,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,deallocate/1[org.lmdbjava.ByteBuf],false,120,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/4[org.lmdbjava.ByteBuf,int,org.lmdbjava.Pointer,long]",false,141,3,1,0,1,1,3,4,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"findField/2[java.lang.String,java.lang.String]",false,78,1,3,1,2,4,4,21,1,2,2,4,0,0,1,1,2,0,2,0,3,2,2,0,0,0,19,8,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,getComparator/1[org.lmdbjava.DbiFlags[]],false,115,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,ByteBufProxy/1[org.lmdbjava.PooledByteBufAllocator],true,63,5,4,0,4,2,4,14,0,3,1,4,2,1,0,0,1,0,1,0,6,0,1,0,0,0,17,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"out/3[org.lmdbjava.ByteBuf,org.lmdbjava.Pointer,long]",false,150,3,3,0,3,1,5,8,1,2,3,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,23,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,ByteBufProxy/0,true,59,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,getBytes/1[org.lmdbjava.ByteBuf],false,125,2,0,0,0,1,2,5,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/PutFlags.java,org.lmdbjava.PutFlags,PutFlags/1[int],true,62,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/PutFlags.java,org.lmdbjava.PutFlags,getMask/0,false,67,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ReferenceUtil.java,org.lmdbjava.ReferenceUtil,reachabilityFence0/1[java.lang.Object],false,60,1,9,9,0,2,0,6,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,94,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ReferenceUtil.java,org.lmdbjava.ReferenceUtil,ReferenceUtil/0,true,30,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/Txn.java,org.lmdbjava.Txn$TxFullException,TxFullException/0,true,386,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/SeekOp.java,org.lmdbjava.SeekOp,getCode/0,false,111,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/SeekOp.java,org.lmdbjava.SeekOp,SeekOp/1[int],true,102,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,key/0,false,203,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,setV/1[T],false,220,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,val/0,false,212,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/CursorIterable.java,org.lmdbjava.CursorIterable$KeyVal,setK/1[T],false,216,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"KeyRangeType/3[boolean,boolean,boolean]",true,282,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,isDirectionForward/0,false,293,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,"iteratorOp/4[T,T,T,C]",false,379,3,0,0,0,41,2,64,25,0,4,2,0,0,0,4,0,0,2,21,0,0,2,0,0,0,45,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,isStopKeyRequired/0,false,311,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,nextOp/0,false,454,2,4,3,1,2,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,initialOp/0,false,324,1,2,2,0,19,0,42,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,41,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/KeyRangeType.java,org.lmdbjava.KeyRangeType,isStartKeyRequired/0,false,302,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/LmdbNativeException.java,org.lmdbjava.LmdbNativeException,"LmdbNativeException/2[int,java.lang.String]",true,43,0,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,15,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/LmdbNativeException.java,org.lmdbjava.LmdbNativeException,getResultCode/0,false,53,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/Library.java,org.lmdbjava.Library$MDB_envinfo,MDB_envinfo/1[jnr.ffi.Runtime],true,129,4,2,2,0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/KeyRangeTest.java,org.lmdbjava.KeyRangeTest$FakeCursor,getWithSetRange/1[java.lang.Integer],false,270,0,2,2,0,4,0,10,2,2,1,0,0,0,1,1,0,0,0,1,3,0,2,0,0,0,11,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/KeyRangeTest.java,org.lmdbjava.KeyRangeTest$FakeCursor,first/0,false,265,0,2,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/KeyRangeTest.java,org.lmdbjava.KeyRangeTest$FakeCursor,last/0,false,281,0,2,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/KeyRangeTest.java,org.lmdbjava.KeyRangeTest$FakeCursor,reset/0,false,302,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/KeyRangeTest.java,org.lmdbjava.KeyRangeTest$FakeCursor,"apply/2[org.lmdbjava.KeyRangeType.CursorOp,java.lang.Integer]",false,241,2,6,1,5,8,5,23,7,1,2,5,5,1,0,1,0,0,1,0,1,0,2,0,0,0,20,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/KeyRangeTest.java,org.lmdbjava.KeyRangeTest$FakeCursor,prev/0,false,294,0,2,2,0,2,0,7,2,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,4,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/KeyRangeTest.java,org.lmdbjava.KeyRangeTest$FakeCursor,next/0,false,286,0,2,2,0,2,0,7,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,4,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/GarbageCollectionTest.java,org.lmdbjava.GarbageCollectionTest,"putBuffer/3[org.lmdbjava.Dbi<java.nio.ByteBuffer>,org.lmdbjava.Txn<java.nio.ByteBuffer>,int]",false,109,2,2,1,1,1,5,7,0,2,3,5,0,0,0,0,0,2,0,2,2,2,0,0,0,0,23,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/GarbageCollectionTest.java,org.lmdbjava.GarbageCollectionTest,buffersNotGarbageCollectedTest/0,false,52,10,14,0,14,7,24,47,1,16,0,24,1,1,3,0,6,0,5,7,15,2,6,0,0,1,40,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/Meta.java,org.lmdbjava.Meta,error/1[int],false,48,1,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/Meta.java,org.lmdbjava.Meta,Meta/0,true,32,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/Meta.java,org.lmdbjava.Meta,version/0,false,57,3,3,1,2,1,2,7,1,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/MetaTest.java,org.lmdbjava.MetaTest,coverPrivateConstructors/0,false,40,3,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/MetaTest.java,org.lmdbjava.MetaTest,version/0,false,51,3,1,0,1,1,5,6,0,1,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/test/java/org/lmdbjava/MetaTest.java,org.lmdbjava.MetaTest,errCode/0,false,45,2,1,0,1,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/BufferProxy.java,org.lmdbjava.BufferProxy,deallocate/1[T],false,77,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1028,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/BufferProxy.java,org.lmdbjava.BufferProxy,"out/3[T,org.lmdbjava.Pointer,long]",false,114,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1028,0,true
