file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,allocate/0,bb,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,allocate/0,i,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"compare/2[org.lmdbjava.ByteBuf,org.lmdbjava.ByteBuf]",o1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"compare/2[org.lmdbjava.ByteBuf,org.lmdbjava.ByteBuf]",o2,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/3[org.lmdbjava.ByteBuf,org.lmdbjava.Pointer,long]",buffer,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/3[org.lmdbjava.ByteBuf,org.lmdbjava.Pointer,long]",ptrAddr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/3[org.lmdbjava.ByteBuf,org.lmdbjava.Pointer,long]",ptr,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,deallocate/1[org.lmdbjava.ByteBuf],buff,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/4[org.lmdbjava.ByteBuf,int,org.lmdbjava.Pointer,long]",size,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/4[org.lmdbjava.ByteBuf,int,org.lmdbjava.Pointer,long]",buffer,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/4[org.lmdbjava.ByteBuf,int,org.lmdbjava.Pointer,long]",ptrAddr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"in/4[org.lmdbjava.ByteBuf,int,org.lmdbjava.Pointer,long]",ptr,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"findField/2[java.lang.String,java.lang.String]",c,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"findField/2[java.lang.String,java.lang.String]",field,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"findField/2[java.lang.String,java.lang.String]",e,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"findField/2[java.lang.String,java.lang.String]",name,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lmdbjava/../../lmdbjava/src/main/java/org/lmdbjava/ByteBufProxy.java,org.lmdbjava.ByteBufProxy,"findField/2[java.lang.String,java.lang.String]",clazz,5
