file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/suggest/src/test/org/apache/lucene/search/spell/TestLuceneDictionary.java,org.apache.lucene.search.spell.TestLuceneDictionary,class,11,11,0,11,16,2,0,22,0,0.35416666,1.0,1.0,8,0,8,0,0,0,8,0,0,0,6,0,0,6,0,0,0,0,0,139,0,1,8,5,0,44,11,39,0,12,2,0,0,0,79,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/luke/src/java/org/apache/lucene/luke/models/analysis/Analysis.java,org.apache.lucene.luke.models.analysis.Analysis$Token,innerclass,1,1,0,1,3,1,0,3,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,3,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,13,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/analysis/kuromoji/src/java/org/apache/lucene/analysis/ja/dict/UnknownMorphData.java,org.apache.lucene.analysis.ja.dict.UnknownMorphData,class,3,4,1,3,4,2,0,0,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/monitor/src/java/org/apache/lucene/monitor/Monitor.java,org.apache.lucene.monitor.Monitor,class,25,47,22,25,25,2,0,35,49,0.7159091,0.37619048,0.5714286,22,0,21,1,0,0,21,0,0,0,4,0,0,3,1,0,4,0,4,154,9,1,0,2,0,0,0,17,0,21,2,0,3,3,190,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/analysis/common/src/java/org/apache/lucene/analysis/gl/GalicianAnalyzer.java,org.apache.lucene.analysis.gl.GalicianAnalyzer$DefaultSetHolder,innerclass,2,2,0,2,2,1,0,3,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,11,0,0,0,1,0,1,0,1,0,1,1,0,0,0,37,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/classification/src/java/org/apache/lucene/classification/ClassificationResult.java,org.apache.lucene.classification.ClassificationResult,class,2,18,16,2,4,1,0,2,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,1,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,29,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/core/src/java/org/apache/lucene/codecs/lucene94/Lucene94FieldInfosFormat.java,org.apache.lucene.codecs.lucene94.Lucene94FieldInfosFormat,class,16,18,2,16,58,2,0,46,36,0.88888896,0.1,0.1,9,6,3,6,0,0,5,0,0,0,10,10,0,0,0,10,10,0,13,199,25,2,11,4,7,16,48,51,10,39,4,0,0,0,209,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/core/src/test/org/apache/lucene/index/TestIndexSorting.java,org.apache.lucene.index.TestIndexSorting$AssertingNeedsIndexSortCodec$Anonymous1,anonymous,5,5,0,5,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,1,0,1,0,1,0,0,13,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/core/src/java/org/apache/lucene/util/fst/ReverseBytesReader.java,org.apache.lucene.util.fst.ReverseBytesReader,class,2,4,2,2,7,3,0,0,0,0.33333334,0.8,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,1,0,0,24,2,1,0,0,0,0,1,5,1,3,1,0,0,0,20,16,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/lucene/../../lucene/lucene/queries/src/test/org/apache/lucene/queries/spans/TestSpanOrQuery.java,org.apache.lucene.queries.spans.TestSpanOrQuery,class,4,4,0,4,3,2,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,12,0,10,0,10,1,0,0,1,33,1,0
