file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,class,9,10,1,9,12,3,0,10,0,0.33333334,1.0,1.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,3,0,0,49,7,2,1,1,0,0,1,10,0,9,3,0,0,0,74,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/olap/fun/BuiltinFunTable.java,mondrian.olap.fun.BuiltinFunTable$Anonymous39$Anonymous40,anonymous,6,6,0,6,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/olap/IdBatchResolver.java,mondrian.olap.IdBatchResolver$IdComparator,innerclass,2,2,0,2,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,2,2,0,2,1,0,0,0,23,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/it/java/mondrian/rolap/agg/DenseSegmentBodyTestBase.java,mondrian.rolap.agg.DenseSegmentBodyTestBase,class,6,9,3,6,21,2,0,29,75,0.6111111,0.2867647,0.40441176,18,0,11,1,0,6,17,4,0,0,2,0,0,0,0,2,2,0,20,99,2,2,0,0,0,0,32,36,0,36,2,0,0,0,62,1024,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/it/java/mondrian/rolap/sql/SqlQueryTest.java,mondrian.rolap.sql.SqlQueryTest,class,12,14,2,12,44,5,0,52,148,0.775,0.008333334,0.008333334,20,0,14,4,2,0,16,0,0,0,2,0,0,2,0,0,0,0,4,273,9,5,2,1,0,329,0,84,39,78,2,0,0,0,278,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/rolap/RolapResult.java,mondrian.rolap.RolapResult$Anonymous1,anonymous,8,8,0,8,4,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,20,2,1,0,1,1,2,0,1,0,1,3,0,0,0,20,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/olap/fun/BuiltinFunTable.java,mondrian.olap.fun.BuiltinFunTable$Anonymous26$Anonymous27,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/olap/fun/BuiltinFunTable.java,mondrian.olap.fun.BuiltinFunTable$Anonymous35$Anonymous36,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/olap/type/EmptyType.java,mondrian.olap.type.EmptyType,class,2,4,2,2,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/olap4j/MondrianOlap4jConnection.java,mondrian.olap4j.MondrianOlap4jConnection$MondrianToOlap4jNodeConverter,innerclass,29,29,0,29,40,1,0,50,54,0.6666667,1.0,1.0,12,2,1,10,0,1,2,0,0,0,1,0,0,1,0,0,1,0,3,141,28,5,4,0,0,1,0,20,1,20,4,0,0,0,73,10,0
