file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,getCalcs/0,memberCalcs,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,"MemberArrayValueCalc/3[mondrian.olap.Exp,mondrian.calc.impl.MemberCalc[],boolean]",members,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,"MemberArrayValueCalc/3[mondrian.olap.Exp,mondrian.calc.impl.MemberCalc[],boolean]",memberCalcs,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,"MemberArrayValueCalc/3[mondrian.olap.Exp,mondrian.calc.impl.MemberCalc[],boolean]",nullCheck,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,evaluate/1[mondrian.olap.Evaluator],members,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,evaluate/1[mondrian.olap.Evaluator],memberCalcs,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,evaluate/1[mondrian.olap.Evaluator],nullCheck,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/main/java/mondrian/calc/impl/MemberArrayValueCalc.java,mondrian.calc.impl.MemberArrayValueCalc,dependsOn/1[mondrian.olap.Hierarchy],memberCalcs,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/it/java/mondrian/rolap/agg/DenseSegmentBodyTestBase.java,mondrian.rolap.agg.DenseSegmentBodyTestBase,testGetSize_NoNulls/0,nonNull,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mondrian/../../mondrian/mondrian/src/it/java/mondrian/rolap/agg/DenseSegmentBodyTestBase.java,mondrian.rolap.agg.DenseSegmentBodyTestBase,testGetObject_Null/0,nullValue,1
