file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldNotRunAnyChangeSet_whenAnotherProfile/0,profileFilter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunDevProfileAndNonAnnotated/0,profileFilter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunUnProfiledChangeLog_ifMethodsProfiled_WhenDefaultProfile/0,profileFilter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSets_WhenNoProfileInvolved/0,profileFilter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSet_whenDefaultProfile_IfDefaultAndEmptyProfile/0,profileFilter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/test/java/io/mongock/runner/core/changelogs/withRollback/AdvanceChangeLogWithBeforeFailing.java,io.mongock.runner.core.changelogs.withRollback.AdvanceChangeLogWithBeforeFailing,rollbackBefore/0,rollbackCalledLatch,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/test/java/io/mongock/runner/core/changelogs/withRollback/AdvanceChangeLogWithBeforeFailing.java,io.mongock.runner.core.changelogs.withRollback.AdvanceChangeLogWithBeforeFailing,rollback/0,rollbackCalledLatch,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot-base/src/main/java/io/mongock/runner/springboot/base/config/MongockSpringConfiguration.java,io.mongock.runner.springboot.base.config.MongockSpringConfiguration,getRunnerType/0,runnerType,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot-base/src/main/java/io/mongock/runner/springboot/base/config/MongockSpringConfiguration.java,io.mongock.runner.springboot.base.config.MongockSpringConfiguration,setRunnerType/1[io.mongock.runner.springboot.base.config.SpringRunnerType],runnerType,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot-base/src/main/java/io/mongock/runner/springboot/base/config/MongockSpringConfiguration.java,io.mongock.runner.springboot.base.config.MongockSpringConfiguration,updateFrom/1[T],testEnabled,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot-base/src/main/java/io/mongock/runner/springboot/base/config/MongockSpringConfiguration.java,io.mongock.runner.springboot.base.config.MongockSpringConfiguration,updateFrom/1[T],runnerType,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot-base/src/main/java/io/mongock/runner/springboot/base/config/MongockSpringConfiguration.java,io.mongock.runner.springboot.base.config.MongockSpringConfiguration,isTestEnabled/0,testEnabled,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot-base/src/main/java/io/mongock/runner/springboot/base/config/MongockSpringConfiguration.java,io.mongock.runner.springboot.base.config.MongockSpringConfiguration,setTestEnabled/1[boolean],testEnabled,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/test/java/io/mongock/runner/core/changelogs/withRollback/BasicChangeLogWithExceptionInChangeSetAndRollback.java,io.mongock.runner.core.changelogs.withRollback.BasicChangeLogWithExceptionInChangeSetAndRollback,rollback/0,rollbackCalledLatch,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-v3-driver/src/test/java/io/mongock/driver/mongodb/v3/MongoDb3DriverTestAdapterImpl.java,io.mongock.driver.mongodb.v3.MongoDb3DriverTestAdapterImpl,insertOne/1[io.mongock.driver.mongodb.v3.Document],collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-v3-driver/src/test/java/io/mongock/driver/mongodb/v3/MongoDb3DriverTestAdapterImpl.java,io.mongock.driver.mongodb.v3.MongoDb3DriverTestAdapterImpl,MongoDb3DriverTestAdapterImpl/1[io.mongock.driver.mongodb.v3.MongoCollection<io.mongock.driver.mongodb.v3.Document>],collection,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-v3-driver/src/test/java/io/mongock/driver/mongodb/v3/MongoDb3DriverTestAdapterImpl.java,io.mongock.driver.mongodb.v3.MongoDb3DriverTestAdapterImpl,countDocuments/1[io.mongock.driver.mongodb.v3.Document],collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-v3-driver/src/test/java/io/mongock/driver/mongodb/v3/MongoDb3DriverTestAdapterImpl.java,io.mongock.driver.mongodb.v3.MongoDb3DriverTestAdapterImpl,"createIndex/2[io.mongock.driver.mongodb.v3.Document,io.mongock.driver.mongodb.v3.IndexOptions]",collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/main/java/io/mongock/runner/core/event/MigrationFailureEvent.java,io.mongock.runner.core.event.MigrationFailureEvent,getException/0,migrationResult,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/main/java/io/mongock/runner/core/event/MigrationFailureEvent.java,io.mongock.runner.core.event.MigrationFailureEvent,MigrationFailureEvent/1[java.lang.Exception],migrationResult,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/main/java/io/mongock/runner/core/event/MigrationFailureEvent.java,io.mongock.runner.core.event.MigrationFailureEvent,getMigrationResult/0,migrationResult,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,deleteMany/1[io.mongock.driver.mongodb.reactive.util.Bson],collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,insertOne/1[io.mongock.driver.mongodb.reactive.util.Document],collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,"replaceOne/3[io.mongock.driver.mongodb.reactive.util.Bson,io.mongock.driver.mongodb.reactive.util.Document,io.mongock.driver.mongodb.reactive.util.ReplaceOptions]",collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,"createIndex/2[io.mongock.driver.mongodb.reactive.util.Bson,io.mongock.driver.mongodb.reactive.util.IndexOptions]",collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,find/1[io.mongock.driver.mongodb.reactive.util.Bson],collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,listIndexes/0,collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,"updateMany/3[io.mongock.driver.mongodb.reactive.util.Bson,io.mongock.driver.mongodb.reactive.util.Bson,io.mongock.driver.mongodb.reactive.util.UpdateOptions]",collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,getCollection/0,collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,MongoCollectionSync/1[io.mongock.driver.mongodb.reactive.util.MongoCollection<io.mongock.driver.mongodb.reactive.util.Document>],collection,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,getNamespace/0,collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,countDocuments/1[io.mongock.driver.mongodb.reactive.util.Bson],collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,dropIndex/1[java.lang.String],collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-reactive-driver/src/main/java/io/mongock/driver/mongodb/reactive/util/MongoCollectionSync.java,io.mongock.driver.mongodb.reactive.util.MongoCollectionSync,"replaceOne/4[io.mongock.driver.mongodb.reactive.util.ClientSession,io.mongock.driver.mongodb.reactive.util.Bson,io.mongock.driver.mongodb.reactive.util.Document,io.mongock.driver.mongodb.reactive.util.ReplaceOptions]",collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-springdata-v2-driver/src/main/java/com/github/cloudyrock/mongock/driver/mongodb/springdata/v2/decorator/impl/MongockTemplate.java,com.github.cloudyrock.mongock.driver.mongodb.springdata.v2.decorator.impl.MongockTemplate,getImpl/0,impl,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-springdata-v2-driver/src/main/java/com/github/cloudyrock/mongock/driver/mongodb/springdata/v2/decorator/impl/MongockTemplate.java,com.github.cloudyrock.mongock.driver.mongodb.springdata.v2.decorator.impl.MongockTemplate,MongockTemplate/1[com.github.cloudyrock.mongock.driver.mongodb.springdata.v2.decorator.impl.MongoTemplate],impl,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-driver/mongock-driver-api/src/main/java/io/mongock/driver/api/lock/guard/invoker/LockGuardInvokerImpl.java,io.mongock.driver.api.lock.guard.invoker.LockGuardInvokerImpl,invoke/1[java.util.function.Supplier<T>],lockManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-driver/mongock-driver-api/src/main/java/io/mongock/driver/api/lock/guard/invoker/LockGuardInvokerImpl.java,io.mongock.driver.api.lock.guard.invoker.LockGuardInvokerImpl,invoke/1[io.mongock.driver.api.lock.guard.invoker.VoidSupplier],lockManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-driver/mongock-driver-api/src/main/java/io/mongock/driver/api/lock/guard/invoker/LockGuardInvokerImpl.java,io.mongock.driver.api.lock.guard.invoker.LockGuardInvokerImpl,LockGuardInvokerImpl/1[io.mongock.driver.api.lock.LockManager],lockManager,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,getCollection/0,collection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,"MockClusterBuilder/3[java.lang.String,java.lang.String,java.lang.String]",queryIndexManager,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,"MockClusterBuilder/3[java.lang.String,java.lang.String,java.lang.String]",bucketName,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,"MockClusterBuilder/3[java.lang.String,java.lang.String,java.lang.String]",cluster,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,"MockClusterBuilder/3[java.lang.String,java.lang.String,java.lang.String]",collectionQueryIndexManager,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,"MockClusterBuilder/3[java.lang.String,java.lang.String,java.lang.String]",collection,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,getCluster/0,cluster,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,getCollectionQueryIndexManager/0,collectionQueryIndexManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,getQueryIndexManager/0,queryIndexManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,addPrimaryKey/0,queryIndexManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,addPrimaryKey/0,bucketName,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/couchbase/couchbase-driver/src/test/java/io/mongock/driver/couchbase/util/MockClusterBuilder.java,io.mongock.driver.couchbase.util.MockClusterBuilder,addPrimaryKey/0,collectionQueryIndexManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-api/src/main/java/io/mongock/api/config/LegacyMigrationMappingFields.java,io.mongock.api.config.LegacyMigrationMappingFields,"LegacyMigrationMappingFields/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",metadata,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-api/src/main/java/io/mongock/api/config/LegacyMigrationMappingFields.java,io.mongock.api.config.LegacyMigrationMappingFields,"LegacyMigrationMappingFields/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",changeSetMethod,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-api/src/main/java/io/mongock/api/config/LegacyMigrationMappingFields.java,io.mongock.api.config.LegacyMigrationMappingFields,"LegacyMigrationMappingFields/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",author,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-api/src/main/java/io/mongock/api/config/LegacyMigrationMappingFields.java,io.mongock.api.config.LegacyMigrationMappingFields,"LegacyMigrationMappingFields/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",changeLogClass,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-api/src/main/java/io/mongock/api/config/LegacyMigrationMappingFields.java,io.mongock.api.config.LegacyMigrationMappingFields,"LegacyMigrationMappingFields/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",changeId,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-api/src/main/java/io/mongock/api/config/LegacyMigrationMappingFields.java,io.mongock.api.config.LegacyMigrationMappingFields,"LegacyMigrationMappingFields/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",timestamp,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-api/src/main/java/io/mongock/api/config/LegacyMigrationMappingFields.java,io.mongock.api.config.LegacyMigrationMappingFields,getAuthor/0,author,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-api/src/main/java/io/mongock/api/config/LegacyMigrationMappingFields.java,io.mongock.api.config.LegacyMigrationMappingFields,setChangeSetMethod/1[java.lang.String],changeSetMethod,3
