file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/test/java/io/mongock/runner/core/changelogs/forchangeservice/changeloginterface/AdvanceChangeLogUniqueInPackage.java,io.mongock.runner.core.changelogs.forchangeservice.changeloginterface.AdvanceChangeLogUniqueInPackage,changeSet/0,false,14,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/test/java/io/mongock/runner/core/changelogs/forchangeservice/changeloginterface/AdvanceChangeLogUniqueInPackage.java,io.mongock.runner.core.changelogs.forchangeservice.changeloginterface.AdvanceChangeLogUniqueInPackage,rollback/0,false,18,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/test/java/io/mongock/runner/core/changelogs/forchangeservice/changeloginterface/AdvanceChangeLogUniqueInPackage.java,io.mongock.runner.core.changelogs.forchangeservice.changeloginterface.AdvanceChangeLogUniqueInPackage,before/0,false,23,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/test/java/io/mongock/runner/core/changelogs/forchangeservice/changeloginterface/AdvanceChangeLogUniqueInPackage.java,io.mongock.runner.core.changelogs.forchangeservice.changeloginterface.AdvanceChangeLogUniqueInPackage,rollbackBefore/0,false,27,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldNotRunAnyChangeSet_whenAnotherProfile/0,false,104,4,2,0,2,1,9,4,0,1,0,9,0,0,0,0,0,0,2,1,1,0,0,0,0,0,14,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunDevProfileAndNonAnnotated/0,false,37,7,9,0,9,1,27,22,0,4,0,27,0,0,0,0,0,0,10,5,5,0,0,0,0,0,23,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunUnProfiledChangeLog_ifMethodsProfiled_WhenDefaultProfile/0,false,71,7,8,0,8,1,26,21,0,4,0,26,0,0,0,0,0,0,9,5,5,0,0,0,0,0,27,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSets_WhenNoProfileInvolved/0,false,117,7,8,0,8,1,21,13,0,3,0,21,0,0,0,0,0,0,5,3,3,0,0,0,0,0,22,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSet_whenDefaultProfile_IfDefaultAndEmptyProfile/0,false,142,7,9,0,9,1,27,22,0,4,0,27,0,0,0,0,0,0,10,5,5,0,0,0,0,0,26,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/drivers/mongodb/mongodb-v3-driver/src/test/java/io/mongock/driver/mongodb/v3/changelogs/runonce/MongockV3LegacyMigrationChangeLogTest.java,io.mongock.driver.mongodb.v3.changelogs.runonce.MongockV3LegacyMigrationChangeLogTest,isAnnotated/0,false,10,3,1,0,1,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-driver/mongock-driver-api/src/main/java/io/mongock/driver/api/driver/DriverLegaciable.java,io.mongock.driver.api.driver.DriverLegaciable,getLegacyMigrationChangeLogClass/1[boolean],false,4,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
