file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldNotRunAnyChangeSet_whenAnotherProfile/0,changeLogService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunDevProfileAndNonAnnotated/0,changeLogService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunDevProfileAndNonAnnotated/0,profiles,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunDevProfileAndNonAnnotated/0,changeLog,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunDevProfileAndNonAnnotated/0,changeSet,11
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunUnProfiledChangeLog_ifMethodsProfiled_WhenDefaultProfile/0,changeLogService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunUnProfiledChangeLog_ifMethodsProfiled_WhenDefaultProfile/0,profiles,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunUnProfiledChangeLog_ifMethodsProfiled_WhenDefaultProfile/0,changeLog,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunUnProfiledChangeLog_ifMethodsProfiled_WhenDefaultProfile/0,changeSet,11
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSets_WhenNoProfileInvolved/0,changeLogService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSets_WhenNoProfileInvolved/0,changeLog,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSets_WhenNoProfileInvolved/0,changeSet,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSet_whenDefaultProfile_IfDefaultAndEmptyProfile/0,changeLogService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSet_whenDefaultProfile_IfDefaultAndEmptyProfile/0,profiles,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSet_whenDefaultProfile_IfDefaultAndEmptyProfile/0,changeLog,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/spring/springboot/mongock-springboot/src/test/java/io/mongock/runner/springboot/core/ProfiledChangeLogServiceTest.java,io.mongock.runner.springboot.core.ProfiledChangeLogServiceTest,shouldRunAllChangeSet_whenDefaultProfile_IfDefaultAndEmptyProfile/0,changeSet,11
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-driver/mongock-driver-api/src/main/java/io/mongock/driver/api/driver/DriverLegaciable.java,io.mongock.driver.api.driver.DriverLegaciable,getLegacyMigrationChangeLogClass/1[boolean],runAlways,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mongock/../../mongock/mongock-core/mongock-runner/mongock-runner-core/src/main/java/io/mongock/runner/core/builder/roles/TransactionStrategiable.java,io.mongock.runner.core.builder.roles.TransactionStrategiable,setTransactionStrategy/1[io.mongock.api.config.TransactionStrategy],transactionStrategy,1
