file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,invoker/0,defaultRowMapperInvoker,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,invoker/1[java.lang.String],INVOKER_MAP,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/audit/ConsoleMessageCollector.java,com.mybatisflex.core.audit.ConsoleMessageCollector,ConsoleMessageCollector/1[com.mybatisflex.core.audit.ConsoleMessageCollector.SqlDebugPrinter],printer,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/audit/ConsoleMessageCollector.java,com.mybatisflex.core.audit.ConsoleMessageCollector,collect/1[com.mybatisflex.core.audit.AuditMessage],printer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/query/RawQueryTable.java,com.mybatisflex.core.query.RawQueryTable,toSql/1[com.mybatisflex.core.dialect.IDialect],content,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/query/RawQueryTable.java,com.mybatisflex.core.query.RawQueryTable,RawQueryTable/1[java.lang.String],content,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/query/RawQueryTable.java,com.mybatisflex.core.query.RawQueryTable,getContent/0,content,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/query/RawQueryTable.java,com.mybatisflex.core.query.RawQueryTable,toString/0,content,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/handler/CompositeEnumTypeHandler.java,com.mybatisflex.core.handler.CompositeEnumTypeHandler,"getResult/2[java.sql.ResultSet,int]",delegate,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/handler/CompositeEnumTypeHandler.java,com.mybatisflex.core.handler.CompositeEnumTypeHandler,"getResult/2[java.sql.CallableStatement,int]",delegate,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/handler/CompositeEnumTypeHandler.java,com.mybatisflex.core.handler.CompositeEnumTypeHandler,"getResult/2[java.sql.ResultSet,java.lang.String]",delegate,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/handler/CompositeEnumTypeHandler.java,com.mybatisflex.core.handler.CompositeEnumTypeHandler,CompositeEnumTypeHandler/1[java.lang.Class<E>],delegate,2
