file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"insertBySql/2[java.lang.String,java.lang.Object[]]",false,95,2,2,0,2,1,2,3,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"updateByCondition/4[java.lang.String,java.lang.String,com.mybatisflex.core.row.Row,com.mybatisflex.core.query.QueryCondition]",false,386,5,4,0,4,1,3,3,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"selectAll/2[java.lang.String,java.lang.String]",false,799,3,5,3,2,1,2,3,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"deleteBySql/2[java.lang.String,java.lang.Object[]]",false,171,2,2,0,2,1,2,3,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"updateEntitiesBatch/2[java.util.Collection<T>,int]",false,455,4,3,1,2,1,4,4,1,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"paginate/6[java.lang.String,java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,com.mybatisflex.core.query.QueryCondition]",false,1054,6,5,0,5,1,4,3,1,0,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"selectListByQuery/3[java.lang.String,java.lang.String,com.mybatisflex.core.query.QueryWrapper]",false,764,4,3,1,2,1,2,3,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"updateByMap/3[java.lang.String,com.mybatisflex.core.row.Row,java.util.Map<java.lang.String,java.lang.Object>]",false,374,4,4,0,4,1,3,3,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,Db/0,true,44,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"updateBatch/2[java.lang.String,com.mybatisflex.core.row.BatchArgsSetter]",false,324,5,6,1,5,1,5,4,1,3,2,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,9,9,0,true
