file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"insertBySql/2[java.lang.String,java.lang.Object[]]",args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"insertBySql/2[java.lang.String,java.lang.Object[]]",sql,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"updateByCondition/4[java.lang.String,java.lang.String,com.mybatisflex.core.row.Row,com.mybatisflex.core.query.QueryCondition]",schema,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"updateByCondition/4[java.lang.String,java.lang.String,com.mybatisflex.core.row.Row,com.mybatisflex.core.query.QueryCondition]",condition,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"updateByCondition/4[java.lang.String,java.lang.String,com.mybatisflex.core.row.Row,com.mybatisflex.core.query.QueryCondition]",data,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"updateByCondition/4[java.lang.String,java.lang.String,com.mybatisflex.core.row.Row,com.mybatisflex.core.query.QueryCondition]",tableName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"selectAll/2[java.lang.String,java.lang.String]",schema,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"selectAll/2[java.lang.String,java.lang.String]",tableName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"deleteBySql/2[java.lang.String,java.lang.Object[]]",args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/mybatis-flex/../../mybatis-flex/mybatis-flex-core/src/main/java/com/mybatisflex/core/row/Db.java,com.mybatisflex.core.row.Db,"deleteBySql/2[java.lang.String,java.lang.Object[]]",sql,1
