file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,"tryLock/3[long,long,boolean]",file,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,write/1[java.nio.ByteBuffer],file,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,truncate/1[long],file,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,truncate/1[long],readOnly,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,read/1[java.nio.ByteBuffer],file,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,toString/0,name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,force/1[boolean],file,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,"FileDisk/2[java.lang.String,java.lang.String]",file,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,"FileDisk/2[java.lang.String,java.lang.String]",name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,"FileDisk/2[java.lang.String,java.lang.String]",readOnly,1
