file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"compare/2[java.lang.Object,java.lang.Object]",false,691,0,0,0,0,3,2,8,2,2,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,BooleanType/1[org.dizitart.no2.mvstore.compat.v1.NitriteDataType],true,686,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,getMemory/1[java.lang.Object],false,701,0,0,0,0,2,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"read/2[java.nio.ByteBuffer,int]",false,716,0,0,0,0,2,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"write/2[org.dizitart.no2.mvstore.compat.v1.mvstore.WriteBuffer,java.lang.Object]",false,706,1,1,0,1,3,2,8,1,1,2,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,19,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite/src/main/java/org/dizitart/no2/common/module/NitriteModule.java,org.dizitart.no2.common.module.NitriteModule,plugins/0,false,40,1,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite/src/main/java/org/dizitart/no2/common/module/NitriteModule.java,org.dizitart.no2.common.module.NitriteModule,module/1[org.dizitart.no2.common.module.NitritePlugin[]],false,36,3,4,3,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,8,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testToListRemove/0,false,105,4,4,0,4,1,6,6,0,2,0,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,11,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testFindOptionsNegativeOffset/0,false,48,3,4,0,4,1,4,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testFindOptionsInvalidOffset/0,false,60,2,4,0,4,1,6,4,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testFindInvalidSort/0,false,66,3,3,0,3,1,4,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testFindTextFilterNonIndexed/0,false,72,3,4,0,4,1,5,4,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testFindOptionsNegativeSize/0,false,54,3,4,0,4,1,4,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testFindWithRegexInvalidValue/0,false,78,4,4,0,4,1,6,5,0,1,0,6,0,0,0,0,0,0,2,1,1,0,0,0,0,0,14,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testFindFilterInvalidIndex/0,false,42,3,4,0,4,1,5,4,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testToListAdd/0,false,97,4,5,0,5,1,7,6,0,2,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,12,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testInvalidProjection/0,false,85,5,8,0,8,1,10,6,0,2,0,10,0,0,0,0,0,0,5,2,2,0,0,0,0,0,12,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/mvstore/fs/FileDisk.java,org.dizitart.no2.mvstore.compat.v1.mvstore.fs.FileDisk,"tryLock/3[long,long,boolean]",false,56,0,0,0,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,0,false
