file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"compare/2[java.lang.Object,java.lang.Object]",a,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"compare/2[java.lang.Object,java.lang.Object]",b,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"compare/2[java.lang.Object,java.lang.Object]",bObj,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"compare/2[java.lang.Object,java.lang.Object]",aObj,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,BooleanType/1[org.dizitart.no2.mvstore.compat.v1.NitriteDataType],base,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,getMemory/1[java.lang.Object],obj,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"read/2[java.nio.ByteBuffer,int]",tag,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"read/2[java.nio.ByteBuffer,int]",buff,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"write/2[org.dizitart.no2.mvstore.compat.v1.mvstore.WriteBuffer,java.lang.Object]",obj,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"write/2[org.dizitart.no2.mvstore.compat.v1.mvstore.WriteBuffer,java.lang.Object]",tag,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-mvstore-adapter/src/main/java/org/dizitart/no2/mvstore/compat/v1/NitriteDataType.java,org.dizitart.no2.mvstore.compat.v1.NitriteDataType$BooleanType,"write/2[org.dizitart.no2.mvstore.compat.v1.mvstore.WriteBuffer,java.lang.Object]",buff,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite/src/main/java/org/dizitart/no2/common/module/NitriteModule.java,org.dizitart.no2.common.module.NitriteModule,module/1[org.dizitart.no2.common.module.NitritePlugin[]],plugins,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testToListRemove/0,cursor,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nitrite-java/../../nitrite-java/nitrite-rocksdb-adapter/src/test/java/org/dizitart/no2/integration/collection/CollectionFindNegativeTest.java,org.dizitart.no2.integration.collection.CollectionFindNegativeTest,testToListRemove/0,documents,1
