file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperOrder,asc/0,false,381,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperOrder,desc/0,false,388,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/PreparedStatement.java,jakarta.nosql.PreparedStatement,result/0,false,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/PreparedStatement.java,jakarta.nosql.PreparedStatement,"bind/2[java.lang.String,java.lang.Object]",false,28,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/PreparedStatement.java,jakarta.nosql.PreparedStatement,singleResult/0,false,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperQueryBuild,stream/0,false,410,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperQueryBuild,singleResult/0,false,418,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperQueryBuild,result/0,false,402,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,gte/1[T],false,79,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,lt/1[T],false,89,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,lte/1[T],false,99,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,in/1[java.lang.Iterable<T>],false,120,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,"between/2[T,T]",false,109,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,not/0,false,130,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,eq/1[T],false,50,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,like/1[java.lang.String],false,60,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,gt/1[T],false,69,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,singleResult/1[java.lang.String],false,78,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,count/1[java.lang.Class<T>],false,51,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,count/1[java.lang.String],false,41,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,query/1[java.lang.String],false,63,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,prepare/1[java.lang.String],false,93,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,prepare/1[java.lang.String],false,92,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,singleResult/1[java.lang.String],false,77,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,count/1[java.lang.Class<T>],false,50,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,query/1[java.lang.String],false,62,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,count/1[java.lang.String],false,40,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperLimit,skip/1[long],false,227,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperWhere,skip/1[long],false,476,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperWhere,limit/1[long],false,485,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperWhere,orderBy/1[java.lang.String],false,493,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,true
