file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/PreparedStatement.java,jakarta.nosql.PreparedStatement,"bind/2[java.lang.String,java.lang.Object]",name,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/PreparedStatement.java,jakarta.nosql.PreparedStatement,"bind/2[java.lang.String,java.lang.Object]",value,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,gte/1[T],value,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,lt/1[T],value,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,lte/1[T],value,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,in/1[java.lang.Iterable<T>],values,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,"between/2[T,T]",valueB,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,"between/2[T,T]",valueA,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,eq/1[T],value,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,like/1[java.lang.String],value,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-core/src/main/java/jakarta/nosql/QueryMapper.java,jakarta.nosql.QueryMapper$MapperDeleteNameCondition,gt/1[T],value,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,singleResult/1[java.lang.String],query,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,count/1[java.lang.Class<T>],entityType,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,count/1[java.lang.String],documentCollection,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,query/1[java.lang.String],query,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-document/src/main/java/jakarta/nosql/document/DocumentTemplate.java,jakarta.nosql.document.DocumentTemplate,prepare/1[java.lang.String],query,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,prepare/1[java.lang.String],query,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,singleResult/1[java.lang.String],query,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,count/1[java.lang.Class<T>],type,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nosql/../../nosql/api/nosql-column/src/main/java/jakarta/nosql/column/ColumnTemplate.java,jakarta.nosql.column.ColumnTemplate,query/1[java.lang.String],query,0
