file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/dao/impl/sql/callback/QueryMapCallback.java,org.nutz.dao.impl.sql.callback.QueryMapCallback$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/dao/test/meta/issue1302/Issue1302UserAction.java,org.nutz.dao.test.meta.issue1302.Issue1302UserAction,enum,1,3,2,1,7,1,0,4,0,0.5,0.4,0.6,4,1,3,0,0,1,5,0,0,0,3,1,0,3,0,0,1,0,1,24,3,1,1,0,0,4,4,4,0,4,1,0,0,0,33,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/trans/TransactionTest.java,org.nutz.trans.TransactionTest$AnotherThread,innerclass,1,1,0,1,1,2,0,2,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,3,1,1,0,0,8,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/log/impl/SystemLogAdapter.java,org.nutz.log.impl.SystemLogAdapter$SystemLog,innerclass,2,2,0,2,26,2,0,20,55,0.90909094,0.0,0.0,11,1,6,3,1,1,8,0,0,0,2,2,0,2,0,0,1,0,2,80,1,0,2,0,0,9,0,4,0,2,1,0,0,0,33,9,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/dao/impl/sql/pojo/InsertValuesPItem.java,org.nutz.dao.impl.sql.pojo.InsertValuesPItem,class,6,9,3,6,11,2,1,14,0,0.6,0.0,0.0,5,0,4,0,1,0,5,0,0,0,2,1,0,1,1,0,1,0,1,36,5,3,2,0,0,4,1,8,0,7,1,0,0,0,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/plugin/NoPluginCanWorkException.java,org.nutz.plugin.NoPluginCanWorkException,class,0,2,2,0,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/lang/born/MethodCastingBorning.java,org.nutz.lang.born.MethodCastingBorning,class,3,4,1,3,3,1,0,5,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,18,1,0,0,1,0,1,0,3,0,2,1,0,0,0,11,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/ioc/impl/ObjectMakerImpl.java,org.nutz.ioc.impl.ObjectMakerImpl,class,19,21,2,19,24,1,0,55,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,118,4,3,9,3,1,7,8,27,0,19,5,2,0,0,56,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/lang/hardware/NetworkItem.java,org.nutz.lang.hardware.NetworkItem,class,1,2,1,1,16,1,0,2,80,0.8214286,0.16666667,0.56666666,16,0,16,0,0,0,16,0,0,0,7,0,0,7,0,0,0,0,2,57,9,0,0,0,0,1,0,7,0,7,0,0,0,0,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/castor/castor/Map2Object.java,org.nutz.castor.castor.Map2Object,class,1,2,1,1,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
