file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/dao/test/meta/issue1302/Issue1302UserAction.java,org.nutz.dao.test.meta.issue1302.Issue1302UserAction,getDesc/0,desc,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/dao/test/meta/issue1302/Issue1302UserAction.java,org.nutz.dao.test.meta.issue1302.Issue1302UserAction,fromInt/1[int],USER_ACTION_MAP,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/dao/test/meta/issue1302/Issue1302UserAction.java,org.nutz.dao.test.meta.issue1302.Issue1302UserAction,fromInt/1[int],UNKNOWN,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/dao/test/meta/issue1302/Issue1302UserAction.java,org.nutz.dao.test.meta.issue1302.Issue1302UserAction,fromInt/1[int],priority,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/dao/test/meta/issue1302/Issue1302UserAction.java,org.nutz.dao.test.meta.issue1302.Issue1302UserAction,value/0,priority,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/dao/test/meta/issue1302/Issue1302UserAction.java,org.nutz.dao.test.meta.issue1302.Issue1302UserAction,"Issue1302UserAction/2[java.lang.String,int]",priority,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/dao/test/meta/issue1302/Issue1302UserAction.java,org.nutz.dao.test.meta.issue1302.Issue1302UserAction,"Issue1302UserAction/2[java.lang.String,int]",desc,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/test/org/nutz/trans/TransactionTest.java,org.nutz.trans.TransactionTest$AnotherThread,run/0,waiter,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/log/impl/SystemLogAdapter.java,org.nutz.log.impl.SystemLogAdapter$SystemLog,me/0,me,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/log/impl/SystemLogAdapter.java,org.nutz.log.impl.SystemLogAdapter$SystemLog,me/0,warned,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/dao/impl/sql/pojo/InsertValuesPItem.java,org.nutz.dao.impl.sql.pojo.InsertValuesPItem,_mfs/1[org.nutz.dao.impl.sql.pojo.Entity<?>],mfs,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/lang/born/MethodCastingBorning.java,org.nutz.lang.born.MethodCastingBorning,MethodCastingBorning/1[java.lang.reflect.Method],method,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/lang/born/MethodCastingBorning.java,org.nutz.lang.born.MethodCastingBorning,MethodCastingBorning/1[java.lang.reflect.Method],pts,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/lang/born/MethodCastingBorning.java,org.nutz.lang.born.MethodCastingBorning,born/1[java.lang.Object[]],method,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/nutz/../../nutz/src/org/nutz/lang/born/MethodCastingBorning.java,org.nutz.lang.born.MethodCastingBorning,born/1[java.lang.Object[]],pts,1
