file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/exception/DbException.java,io.objectbox.exception.DbException,"DbException/2[java.lang.String,int]",errorCode,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/exception/DbException.java,io.objectbox.exception.DbException,DbException/1[java.lang.String],errorCode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/exception/DbException.java,io.objectbox.exception.DbException,"DbException/2[java.lang.String,java.lang.Throwable]",errorCode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/exception/DbException.java,io.objectbox.exception.DbException,getErrorCode/0,errorCode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/exception/DbException.java,io.objectbox.exception.DbException,toString/0,errorCode,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,"unsubscribe/2[io.objectbox.reactive.DataObserver<java.lang.Class>,int]",observersByEntityTypeId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,"publishSingle/2[io.objectbox.reactive.DataObserver<java.lang.Class>,java.lang.Object]",boxStore,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,"queuePublishRequestAndScheduleRun/2[io.objectbox.reactive.DataObserver<java.lang.Class>,int[]]",changesQueue,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,"queuePublishRequestAndScheduleRun/2[io.objectbox.reactive.DataObserver<java.lang.Class>,int[]]",changePublisherRunning,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,"queuePublishRequestAndScheduleRun/2[io.objectbox.reactive.DataObserver<java.lang.Class>,int[]]",boxStore,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,ObjectClassPublisher/1[io.objectbox.BoxStore],boxStore,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,"unsubscribe/2[io.objectbox.reactive.DataObserver<java.lang.Class>,java.lang.Object]",boxStore,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,"subscribe/2[io.objectbox.reactive.DataObserver<java.lang.Class>,java.lang.Object]",boxStore,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,"subscribe/2[io.objectbox.reactive.DataObserver<java.lang.Class>,java.lang.Object]",observersByEntityTypeId,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,run/0,changesQueue,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,run/0,changePublisherRunning,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,run/0,boxStore,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/objectbox-java/src/main/java/io/objectbox/ObjectClassPublisher.java,io.objectbox.ObjectClassPublisher,run/0,observersByEntityTypeId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/objectbox-java-test/src/test/java/io/objectbox/tree/MetaBranch_.java,io.objectbox.tree.MetaBranch_,getEntityId/0,__ENTITY_ID,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/objectbox-java-test/src/test/java/io/objectbox/tree/MetaBranch_.java,io.objectbox.tree.MetaBranch_,getIdGetter/0,__ID_GETTER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/objectbox-java-test/src/test/java/io/objectbox/tree/MetaBranch_.java,io.objectbox.tree.MetaBranch_,getAllProperties/0,__ALL_PROPERTIES,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/objectbox-java-test/src/test/java/io/objectbox/tree/MetaBranch_.java,io.objectbox.tree.MetaBranch_,getEntityClass/0,__ENTITY_CLASS,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/objectbox-java-test/src/test/java/io/objectbox/tree/MetaBranch_.java,io.objectbox.tree.MetaBranch_,getCursorFactory/0,__CURSOR_FACTORY,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/objectbox-java-test/src/test/java/io/objectbox/tree/MetaBranch_.java,io.objectbox.tree.MetaBranch_,getIdProperty/0,__ID_PROPERTY,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/objectbox-java-test/src/test/java/io/objectbox/tree/MetaBranch_.java,io.objectbox.tree.MetaBranch_,getEntityName/0,__ENTITY_NAME,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/objectbox-java-test/src/test/java/io/objectbox/tree/MetaBranch_.java,io.objectbox.tree.MetaBranch_,getDbName/0,__DB_NAME,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/test-proguard/src/main/java/io/objectbox/test/proguard/ObfuscatedEntity.java,io.objectbox.test.proguard.ObfuscatedEntity,ObfuscatedEntity/1[long],id,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/test-proguard/src/main/java/io/objectbox/test/proguard/ObfuscatedEntity.java,io.objectbox.test.proguard.ObfuscatedEntity,"ObfuscatedEntity/3[long,int,java.lang.String]",myString,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/objectbox-java/../../objectbox-java/tests/test-proguard/src/main/java/io/objectbox/test/proguard/ObfuscatedEntity.java,io.objectbox.test.proguard.ObfuscatedEntity,"ObfuscatedEntity/3[long,int,java.lang.String]",id,3
