file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/apptools/OrmLiteConfigUtil.java,com.j256.ormlite.android.apptools.OrmLiteConfigUtil$ClassComparator,innerclass,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,class,18,21,3,18,81,1,0,42,125,0.74000007,0.442029,0.49275362,30,0,24,6,0,0,24,0,0,0,5,2,0,5,0,0,4,0,2,362,24,2,12,13,2,37,17,44,16,30,3,0,1,0,179,1,17
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/test/java/com/j256/ormlite/android/apptools/AndroidLogBackendTest.java,com.j256.ormlite.android.apptools.AndroidLogBackendTest,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,0,2,0,2,1,0,0,0,14,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/test/java/com/j256/ormlite/android/apptools/OrmLiteConfigUtilTest.java,com.j256.ormlite.android.apptools.OrmLiteConfigUtilTest$Foo,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,12,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection$OurSavePoint,innerclass,0,0,0,0,3,1,0,0,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,0,1,1,0,1,0,0,0,0,8,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/test/java/com/j256/ormlite/android/apptools/OrmLiteConfigUtilTest.java,com.j256.ormlite.android.apptools.OrmLiteConfigUtilTest,class,5,5,0,5,6,1,0,11,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,8,57,0,0,0,0,0,15,0,14,6,14,0,0,4,0,33,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/compat/ApiCompatibility.java,com.j256.ormlite.android.compat.ApiCompatibility,interface,3,6,3,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/apptools/support/OrmLiteCursorLoader.java,com.j256.ormlite.android.apptools.support.OrmLiteCursorLoader,class,10,11,1,10,23,2,0,20,9,0.56666666,0.35555556,0.62222224,10,0,7,0,3,0,10,0,0,0,3,0,0,0,3,0,0,0,0,79,3,0,6,1,0,0,0,9,0,7,2,0,0,0,79,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/db/SqliteAndroidDatabaseType.java,com.j256.ormlite.db.SqliteAndroidDatabaseType,class,9,12,3,9,14,2,0,8,45,0.0,0.0,0.0,10,0,8,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,1,48,11,0,1,0,0,1,0,0,0,0,2,0,0,0,83,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/apptools/OrmLiteConfigUtil.java,com.j256.ormlite.android.apptools.OrmLiteConfigUtil$Anonymous1,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidConnectionSource.java,com.j256.ormlite.android.AndroidConnectionSource,class,11,13,2,11,21,2,0,13,92,0.84375,0.11666667,0.30833334,16,1,16,0,0,0,16,0,0,0,8,2,0,8,0,0,4,0,1,85,9,0,4,1,0,5,0,17,2,10,3,0,0,0,90,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidLogBackend.java,com.j256.ormlite.android.AndroidLogBackend,class,5,7,2,5,32,1,0,13,3,0.7380952,0.6666667,1.0,7,0,4,3,0,0,4,0,0,0,6,3,0,6,0,0,5,0,0,117,9,2,0,0,0,1,6,16,2,12,2,0,1,0,82,1,0
