file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,rollback/1[java.sql.Savepoint],logger,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,rollback/1[java.sql.Savepoint],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,queryForLong/1[java.lang.String],logger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,queryForLong/1[java.lang.String],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"queryForLong/3[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[]]",logger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"queryForLong/3[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[]]",db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,commit/1[java.sql.Savepoint],logger,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,commit/1[java.sql.Savepoint],db,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"executeStatement/2[java.lang.String,int]",NO_STRING_ARGS,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"executeStatement/2[java.lang.String,int]",db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"queryForOne/5[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[],com.j256.ormlite.android.GenericRowMapper<T>,com.j256.ormlite.android.ObjectCache]",logger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"queryForOne/5[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[],com.j256.ormlite.android.GenericRowMapper<T>,com.j256.ormlite.android.ObjectCache]",db,1
