file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/apptools/OrmLiteConfigUtil.java,com.j256.ormlite.android.apptools.OrmLiteConfigUtil$ClassComparator,"compare/2[java.lang.Class<?>,java.lang.Class<?>]",false,447,0,0,0,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,rollback/1[java.sql.Savepoint],false,122,0,0,0,0,4,3,19,0,0,1,3,0,0,0,2,1,0,4,0,0,1,2,0,0,0,13,1,2,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,releaseSavePoint/1[java.sql.Savepoint],false,141,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,queryForLong/1[java.lang.String],false,222,2,1,0,1,2,4,15,1,2,1,4,1,1,0,0,1,0,2,0,3,1,1,0,0,0,20,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"queryForLong/3[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[]]",false,237,4,5,0,5,3,7,24,1,3,3,7,2,1,0,0,1,0,2,2,6,1,2,0,0,0,27,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,closeQuietly/1[com.j256.ormlite.android.Cursor],false,422,1,6,6,0,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,commit/1[java.sql.Savepoint],false,103,0,0,0,0,4,4,20,0,0,1,4,0,0,0,2,1,0,4,0,0,1,2,0,0,0,13,1,2,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"update/3[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[]]",false,185,2,1,0,1,1,1,3,1,0,3,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"executeStatement/2[java.lang.String,int]",false,146,1,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"queryForOne/5[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[],com.j256.ormlite.android.GenericRowMapper<T>,com.j256.ormlite.android.ObjectCache]",false,196,7,5,0,5,4,8,28,3,3,5,8,2,1,0,0,1,0,2,0,5,1,3,0,0,0,35,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,isAutoCommitSupported/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"bindArgs/3[com.j256.ormlite.android.SQLiteStatement,java.lang.Object[],com.j256.ormlite.android.FieldType[]]",false,356,4,2,2,0,20,9,43,1,3,3,9,0,0,1,2,0,2,2,6,3,7,3,0,0,0,21,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"execute/4[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[],java.lang.String]",false,314,3,5,2,3,4,7,25,1,2,4,7,3,2,0,0,1,0,2,3,5,1,2,0,0,0,25,2,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,setSavePoint/1[java.lang.String],false,85,1,1,0,1,2,2,10,1,0,1,2,0,0,0,0,1,0,2,0,0,1,1,0,0,0,16,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,closeQuietly/0,false,270,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
