file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/apptools/OrmLiteConfigUtil.java,com.j256.ormlite.android.apptools.OrmLiteConfigUtil$ClassComparator,"compare/2[java.lang.Class<?>,java.lang.Class<?>]",arg1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/apptools/OrmLiteConfigUtil.java,com.j256.ormlite.android.apptools.OrmLiteConfigUtil$ClassComparator,"compare/2[java.lang.Class<?>,java.lang.Class<?>]",arg0,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,rollback/1[java.sql.Savepoint],savepoint,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,rollback/1[java.sql.Savepoint],e,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,releaseSavePoint/1[java.sql.Savepoint],savePoint,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,queryForLong/1[java.lang.String],result,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,queryForLong/1[java.lang.String],e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,queryForLong/1[java.lang.String],statement,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,queryForLong/1[java.lang.String],stmt,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-android/../../ormlite-android/src/main/java/com/j256/ormlite/android/AndroidDatabaseConnection.java,com.j256.ormlite.android.AndroidDatabaseConnection,"queryForLong/3[java.lang.String,java.lang.Object[],com.j256.ormlite.android.FieldType[]]",args,1
