file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/field/types/BigDecimalTypeTest.java,com.j256.ormlite.field.types.BigDecimalTypeTest$NotBigDecimal,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,12,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/RawRowObjectMapperTest.java,com.j256.ormlite.dao.RawRowObjectMapperTest$FooObjectArrayMapper,innerclass,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,4,4,0,1,0,0,0,0,12,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,anonymous,3,3,0,3,28,1,0,4,0,0.23076923,0.5769231,0.5769231,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,94,15,0,1,1,1,3,10,6,2,2,2,0,0,0,42,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/LazyForeignCollectionTest.java,com.j256.ormlite.dao.LazyForeignCollectionTest,class,6,6,0,6,3,2,0,19,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,2,0,2,5,6,0,5,1,0,2,0,24,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,class,9,9,0,9,26,1,0,33,0,0.3030303,0.90909094,0.90909094,22,0,22,0,0,0,22,0,0,0,3,0,0,3,0,0,1,0,2,262,0,1,2,0,0,76,50,45,36,42,2,0,1,0,88,1,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/stmt/StatementExecutorTest.java,com.j256.ormlite.stmt.StatementExecutorTest$Anonymous7$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/logger/backend/CommonsLoggingLogBackend.java,com.j256.ormlite.logger.backend.CommonsLoggingLogBackend,class,4,6,2,4,22,1,0,13,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,74,6,0,0,0,0,0,0,1,0,1,1,0,1,0,29,1,10
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/stmt/query/IsNull.java,com.j256.ormlite.stmt.query.IsNull,class,4,5,1,4,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/field/DataPersisterManagerTest.java,com.j256.ormlite.field.DataPersisterManagerTest$PersistedDataType,innerclass,2,2,0,2,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,12,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/misc/BaseDaoEnabledTest.java,com.j256.ormlite.misc.BaseDaoEnabledTest$ForeignDaoEnabled,innerclass,4,4,0,4,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,12,0
