file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/RawRowObjectMapperTest.java,com.j256.ormlite.dao.RawRowObjectMapperTest$FooObjectArrayMapper,"mapRow/3[java.lang.String[],com.j256.ormlite.field.DataType[],java.lang.Object[]]",false,44,2,1,0,1,2,1,8,1,1,3,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,current/0,false,112,1,0,0,0,3,2,11,2,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,moveRelative/1[int],false,134,1,0,0,0,3,2,9,2,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,moveAbsolute/1[int],false,144,1,0,0,0,3,2,9,2,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,moveToNext/0,false,190,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,previous/0,false,124,1,0,0,0,3,2,9,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,close/0,false,174,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,getRawResults/0,false,184,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,nextThrow/0,false,102,1,0,0,0,2,2,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,hasNext/0,false,80,0,0,0,0,2,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,1,0,false
