file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/RawRowObjectMapperTest.java,com.j256.ormlite.dao.RawRowObjectMapperTest$FooObjectArrayMapper,"mapRow/3[java.lang.String[],com.j256.ormlite.field.DataType[],java.lang.Object[]]",dataTypes,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/RawRowObjectMapperTest.java,com.j256.ormlite.dao.RawRowObjectMapperTest$FooObjectArrayMapper,"mapRow/3[java.lang.String[],com.j256.ormlite.field.DataType[],java.lang.Object[]]",columnNames,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/RawRowObjectMapperTest.java,com.j256.ormlite.dao.RawRowObjectMapperTest$FooObjectArrayMapper,"mapRow/3[java.lang.String[],com.j256.ormlite.field.DataType[],java.lang.Object[]]",resultColumns,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/RawRowObjectMapperTest.java,com.j256.ormlite.dao.RawRowObjectMapperTest$FooObjectArrayMapper,"mapRow/3[java.lang.String[],com.j256.ormlite.field.DataType[],java.lang.Object[]]",foo,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,moveRelative/1[int],relativeOffset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,moveAbsolute/1[int],position,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,remove/0,removed,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,remove/0,e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/LazyForeignCollectionTest.java,com.j256.ormlite.dao.LazyForeignCollectionTest,test/0,result,12
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/LazyForeignCollectionTest.java,com.j256.ormlite.dao.LazyForeignCollectionTest,test/0,e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/LazyForeignCollectionTest.java,com.j256.ormlite.dao.LazyForeignCollectionTest,test/0,lazy,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/LazyForeignCollectionTest.java,com.j256.ormlite.dao.LazyForeignCollectionTest,test/0,lazyDao,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/LazyForeignCollectionTest.java,com.j256.ormlite.dao.LazyForeignCollectionTest,test/0,foreign1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/dao/LazyForeignCollectionTest.java,com.j256.ormlite.dao.LazyForeignCollectionTest,test/0,foreignDao,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgs/0,arg3,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgs/0,arg2,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgs/0,arg4,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgs/0,arg1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgsFromMethod/0,arg1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testAtEachLevel/0,prefix,12
