file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/test/java/com/opentable/db/postgres/embedded/SingleInstanceRuleTest.java,com.opentable.db.postgres.embedded.SingleInstanceRuleTest,class,5,5,0,5,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,12,0,0,0,1,0,1,2,4,0,4,1,0,0,0,19,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,class,2,5,3,2,12,1,0,3,0,0.41666666,0.6666667,1.0,8,1,7,1,0,0,7,0,0,0,3,0,0,3,0,0,3,0,2,38,9,0,4,0,0,4,0,4,2,4,1,0,0,0,22,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/junit/SingleInstancePostgresRule.java,com.opentable.db.postgres.junit.SingleInstancePostgresRule,class,4,8,4,4,10,2,0,11,1,0.5555556,0.6,0.6,6,0,2,1,2,1,5,0,0,0,3,0,0,3,0,0,1,0,1,45,3,0,2,2,0,2,0,5,0,6,1,0,0,1,34,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/test/java/com/opentable/db/postgres/embedded/PreparedDbCustomizerTest.java,com.opentable.db.postgres.embedded.PreparedDbCustomizerTest,class,8,8,0,8,1,1,0,10,0,0.16666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,6,1,5,1,0,0,1,0,12,23,0,0,0,0,0,0,2,11,2,16,0,0,0,5,37,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/PreparedDbProvider.java,com.opentable.db.postgres.embedded.PreparedDbProvider,class,11,16,5,11,18,1,0,36,49,0.84848493,0.0,0.0,11,4,7,4,0,0,7,0,0,1,3,2,0,3,0,0,3,0,6,203,11,0,3,3,0,10,0,15,3,15,1,0,3,1,137,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/junit5/LegacySingleInstancePostgresExtension.java,com.opentable.db.postgres.junit5.LegacySingleInstancePostgresExtension,class,6,7,1,6,9,1,0,10,0,0.4666667,1.0,1.0,5,0,4,1,0,0,4,0,0,0,3,0,0,3,0,0,1,0,1,42,3,0,2,2,0,2,0,5,0,6,1,0,0,1,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/DatabasePreparer.java,com.opentable.db.postgres.embedded.DatabasePreparer,interface,0,11,11,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/EmbeddedPostgres.java,com.opentable.db.postgres.embedded.EmbeddedPostgres,class,10,22,12,10,23,1,0,55,15,0.9064327,0.55,0.55,19,2,15,3,0,1,16,0,0,0,9,7,0,3,0,6,9,0,7,199,17,2,0,2,0,16,2,14,3,17,2,0,1,3,103,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/test/java/com/opentable/db/postgres/embedded/FlywayPreparerTest.java,com.opentable.db.postgres.embedded.FlywayPreparerTest,class,5,5,0,5,2,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,19,0,1,0,3,0,9,2,6,1,6,3,0,0,0,35,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/junit5/EmbeddedPostgresExtension.java,com.opentable.db.postgres.junit5.EmbeddedPostgresExtension,class,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,17,0
