file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/test/java/com/opentable/db/postgres/embedded/SingleInstanceRuleTest.java,com.opentable.db.postgres.embedded.SingleInstanceRuleTest,testRule/0,epg,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,getRemoteFile/0,remoteFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,getBindMode/0,bindMode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,getLocalFile/0,localFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,equals/1[java.lang.Object],localFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"BindMount/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",localFile,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"BindMount/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",remoteFile,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"BindMount/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",bindMode,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,toString/0,localFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,toString/0,remoteFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,toString/0,bindMode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"of/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",localFile,2
