file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/test/java/com/opentable/db/postgres/embedded/SingleInstanceRuleTest.java,com.opentable.db.postgres.embedded.SingleInstanceRuleTest,testRule/0,rs,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/test/java/com/opentable/db/postgres/embedded/SingleInstanceRuleTest.java,com.opentable.db.postgres.embedded.SingleInstanceRuleTest,testRule/0,c,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/test/java/com/opentable/db/postgres/embedded/SingleInstanceRuleTest.java,com.opentable.db.postgres.embedded.SingleInstanceRuleTest,testRule/0,s,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,equals/1[java.lang.Object],bindMount,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,equals/1[java.lang.Object],o,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"BindMount/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",localFile,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"BindMount/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",remoteFile,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"BindMount/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",bindMode,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"of/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",localFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"of/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",remoteFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/embedded/BindMount.java,com.opentable.db.postgres.embedded.BindMount,"of/3[java.lang.String,java.lang.String,com.opentable.db.postgres.embedded.BindMode]",bindMode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/junit/SingleInstancePostgresRule.java,com.opentable.db.postgres.junit.SingleInstancePostgresRule,customize/1[java.util.function.Consumer<com.opentable.db.postgres.embedded.EmbeddedPostgres.Builder>],customizer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/junit/SingleInstancePostgresRule.java,com.opentable.db.postgres.junit.SingleInstancePostgresRule,after/0,e,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/otj-pg-embedded/../../otj-pg-embedded/src/main/java/com/opentable/db/postgres/junit/SingleInstancePostgresRule.java,com.opentable.db.postgres.junit.SingleInstancePostgresRule,pg/0,c,1
