file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,abort/0,e,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,abort/0,pgStream,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,close/0,pgStream,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,sendCloseMessage/1[org.postgresql.core.PGStream],pgStream,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,sendCloseMessage/1[org.postgresql.core.PGStream],timeout,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,QueryExecutorCloseAction/1[org.postgresql.core.PGStream],pgStream,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/core/QueryExecutorCloseAction.java,org.postgresql.core.QueryExecutorCloseAction,isClosed/0,pgStream,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,clone/0,calendar,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,clone/0,clone,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,PGTimestamp/1[long],time,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,"PGTimestamp/2[long,java.util.Calendar]",calendar,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,"PGTimestamp/2[long,java.util.Calendar]",time,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,hashCode/0,prime,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,hashCode/0,result,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,setCalendar/1[java.util.Calendar],calendar,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pgjdbc/../../pgjdbc/pgjdbc/src/main/java/org/postgresql/util/PGTimestamp.java,org.postgresql.util.PGTimestamp,equals/1[java.lang.Object],that,2
