file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POCross.java,org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POCross,class,11,18,7,11,41,3,0,30,85,0.82666665,0.018181818,0.018181818,15,0,11,4,0,0,11,0,0,0,5,1,0,1,4,0,1,0,0,163,14,10,11,0,1,7,18,57,8,31,3,0,0,0,87,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/partitioners/SkewedPartitioner.java,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners.SkewedPartitioner,class,12,15,3,12,18,2,1,17,0,0.5416667,0.6666667,1.0,4,0,3,0,1,0,4,0,0,0,6,1,0,2,4,0,1,0,2,66,5,0,6,2,9,3,13,18,4,12,1,0,0,0,74,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/src/org/apache/pig/scripting/groovy/GroovyAlgebraicEvalFunc.java,org.apache.pig.scripting.groovy.GroovyAlgebraicEvalFunc$DataByteArrayGroovyAlgebraicEvalFunc$Final,innerclass,2,2,0,2,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/src/org/apache/pig/impl/builtin/GetMemNumRows.java,org.apache.pig.impl.builtin.GetMemNumRows,class,3,5,2,3,6,2,0,8,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,25,3,0,1,0,0,0,7,7,2,5,1,0,0,0,52,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/src/org/apache/pig/newplan/FilterExtractor.java,org.apache.pig.newplan.FilterExtractor,class,35,40,5,35,74,1,2,32,111,0.81578946,0.09166667,0.23333333,19,0,7,3,9,0,16,3,0,0,6,0,0,0,6,0,1,0,0,280,42,2,15,0,0,6,3,62,6,30,3,0,1,0,143,1025,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/MultiStorage.java,org.apache.pig.piggybank.storage.MultiStorage$MultiStorageOutputFormat,innerclass,5,5,0,5,3,2,0,1,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,94,1,0,0,0,0,1,0,7,0,4,0,1,1,0,26,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/plans/UDFFinder.java,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.UDFFinder,class,9,11,2,9,10,3,0,8,0,0.4375,0.75,0.75,8,0,8,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0,0,33,1,0,2,0,0,0,0,4,0,2,1,0,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/test/org/apache/pig/test/TestGrunt.java,org.apache.pig.test.TestGrunt,class,20,21,1,20,108,2,0,93,94,0.5479452,0.5246377,0.6376812,73,2,70,3,0,0,70,0,0,0,2,1,0,1,0,1,0,0,38,899,2,10,7,12,2,437,28,457,97,416,3,1,1,0,388,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/Packager.java,org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.Packager,class,18,53,35,18,78,1,5,43,432,0.9093568,0.14920636,0.89047617,36,0,34,0,2,0,36,0,0,0,19,3,0,4,12,3,3,0,0,298,29,8,11,1,7,2,23,82,5,54,5,0,1,0,122,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/pig/../../pig/test/org/apache/pig/test/PigTestLoader.java,org.apache.pig.test.PigTestLoader$TestPathFilter,innerclass,2,2,0,2,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,1,0,1,1,0,0,0,9,9,0
