file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,class,10,10,0,10,2,2,0,10,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,61,0,0,0,2,0,2,1,9,0,9,1,0,1,0,51,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/PostgresqlConnectionConfiguration.java,io.r2dbc.postgresql.PostgresqlConnectionConfiguration$Builder$StreamConsumer,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,enum,1,1,0,1,5,1,0,3,1,0.5,0.0,0.0,2,1,0,0,0,2,3,0,0,0,2,1,0,2,0,0,2,0,5,18,1,1,1,0,0,1,0,4,3,3,1,0,0,0,39,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,interface,5,7,2,5,8,1,0,4,21,1.0,0.0,0.0,7,2,0,0,0,7,7,0,0,0,1,0,0,0,0,1,0,0,0,14,2,0,0,0,0,1,0,1,0,1,0,0,0,0,57,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,class,3,9,6,3,13,1,0,7,3,0.6428572,0.4,1.0,7,1,5,1,0,1,6,0,0,0,4,0,0,4,0,0,4,0,1,134,7,4,1,0,0,0,1,6,0,5,5,0,3,0,34,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/extension/Extension.java,io.r2dbc.postgresql.extension.Extension,interface,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/codec/JsonInputStreamCodec.java,io.r2dbc.postgresql.codec.JsonInputStreamCodec,class,12,14,2,12,7,3,0,11,8,0.6,0.1,0.1,5,1,0,0,0,5,5,0,0,0,1,0,0,1,0,0,1,0,3,31,4,1,1,1,1,4,4,5,0,5,2,0,0,1,40,16,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ExceptionFactory.java,io.r2dbc.postgresql.ExceptionFactory$PostgresqlRollbackException,innerclass,4,4,0,4,2,2,0,2,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,1,1,0,1,0,0,0,0,11,24,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/test/java/io/r2dbc/postgresql/message/backend/BackendMessageAssert.java,io.r2dbc.postgresql.message.backend.BackendMessageAssert,class,7,28,21,7,7,2,0,8,4,0.4,0.5,0.5,5,1,1,1,0,3,4,0,0,0,1,0,0,1,0,0,0,0,1,25,4,0,0,0,1,3,0,4,0,3,1,0,0,0,25,16,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/test/java/io/r2dbc/postgresql/message/frontend/CopyDoneUnitTests.java,io.r2dbc.postgresql.message.frontend.CopyDoneUnitTests,class,2,2,0,2,1,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,9,16,0
