file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,MessageType/1[char],discriminator,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,valueOf/1[byte],CACHE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getSql/0,sql,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,hasDefaultTokenValue/1[java.lang.String[]],statements,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getStatements/0,statements,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getParameterCount/1[java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>],statements,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,"ParsedSql/2[java.lang.String,java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>]",parameterCount,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,"ParsedSql/2[java.lang.String,java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>]",statementCount,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,"ParsedSql/2[java.lang.String,java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>]",statements,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,"ParsedSql/2[java.lang.String,java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>]",sql,3
