file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",false,129,5,1,0,1,1,9,9,0,6,2,9,0,0,0,0,1,0,1,1,6,0,1,0,0,0,35,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInJdbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",false,144,3,0,0,0,1,3,6,0,2,2,3,0,0,0,0,1,0,1,0,2,0,1,0,0,0,29,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/PostgresqlConnectionConfiguration.java,io.r2dbc.postgresql.PostgresqlConnectionConfiguration$Builder$StreamConsumer,doWithStream/1[java.io.InputStream],false,1296,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,MessageType/1[char],true,192,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,(initializer 1),false,185,1,4,0,4,2,2,5,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,4,8,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,valueOf/1[byte],false,198,1,0,0,0,2,2,7,1,1,1,2,0,0,0,1,0,0,1,0,1,1,1,0,0,0,14,8,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,notDeferrable/0,false,64,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,readOnly/0,false,81,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,readWrite/0,false,89,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,mutability/1[boolean],false,52,2,2,0,2,2,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,from/1[io.r2dbc.postgresql.api.IsolationLevel],false,42,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,deferrable/0,false,56,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,isolationLevel/1[io.r2dbc.postgresql.api.IsolationLevel],false,72,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getSql/0,false,52,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,hasDefaultTokenValue/1[java.lang.String[]],false,64,2,4,1,3,6,4,14,2,0,1,4,0,0,3,1,0,0,0,0,0,0,5,0,0,0,11,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getStatements/0,false,40,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getParameterCount/1[java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>],false,56,1,2,1,1,2,1,7,1,1,1,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,10,0,false
