file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",mappedByteBuffer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",voodoo,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",file,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",fileInputStream,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",byteBuf,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",connectionHolder,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",rowsInserted,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInR2dbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",fileChannel,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInJdbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",voodoo,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInJdbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",inputStream,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInJdbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",connectionHolder,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/jmh/java/io/r2dbc/postgresql/CopyInBenchmarks.java,io.r2dbc.postgresql.CopyInBenchmarks,"copyInJdbc/2[io.r2dbc.postgresql.CopyInBenchmarks.ConnectionHolder,io.r2dbc.postgresql.Blackhole]",rowsInserted,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/PostgresqlConnectionConfiguration.java,io.r2dbc.postgresql.PostgresqlConnectionConfiguration$Builder$StreamConsumer,doWithStream/1[java.io.InputStream],is,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,MessageType/1[char],discriminator,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,(initializer 1),messageType,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,valueOf/1[byte],b,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/message/backend/BackendMessageDecoder.java,io.r2dbc.postgresql.message.backend.BackendMessageDecoder$MessageType,valueOf/1[byte],messageType,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,mutability/1[boolean],readWrite,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,from/1[io.r2dbc.postgresql.api.IsolationLevel],isolationLevel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/api/PostgresTransactionDefinition.java,io.r2dbc.postgresql.api.PostgresTransactionDefinition,isolationLevel/1[io.r2dbc.postgresql.api.IsolationLevel],isolationLevel,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,hasDefaultTokenValue/1[java.lang.String[]],statement,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,hasDefaultTokenValue/1[java.lang.String[]],tokenValues,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,hasDefaultTokenValue/1[java.lang.String[]],value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,hasDefaultTokenValue/1[java.lang.String[]],token,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getParameterCount/1[java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>],statement,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getParameterCount/1[java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>],statements,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/r2dbc-postgresql/../../r2dbc-postgresql/src/main/java/io/r2dbc/postgresql/ParsedSql.java,io.r2dbc.postgresql.ParsedSql,getParameterCount/1[java.util.List<io.r2dbc.postgresql.ParsedSql.Statement>],sum,2
