file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonListFragment.java,io.realm.examples.arch.PersonListFragment$Adapter$ViewHolder,ViewHolder/1[io.realm.examples.arch.View],onClick,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonListFragment.java,io.realm.examples.arch.PersonListFragment$Adapter$ViewHolder,ViewHolder/1[io.realm.examples.arch.View],name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonListFragment.java,io.realm.examples.arch.PersonListFragment$Adapter$ViewHolder,ViewHolder/1[io.realm.examples.arch.View],age,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonListFragment.java,io.realm.examples.arch.PersonListFragment$Adapter$ViewHolder,bind/1[io.realm.examples.arch.model.Person],person,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonListFragment.java,io.realm.examples.arch.PersonListFragment$Adapter$ViewHolder,bind/1[io.realm.examples.arch.model.Person],name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonListFragment.java,io.realm.examples.arch.PersonListFragment$Adapter$ViewHolder,bind/1[io.realm.examples.arch.model.Person],age,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/NoPrimaryKeyNullTypes.java,io.realm.entities.NoPrimaryKeyNullTypes,getFieldDateNotNull/0,fieldDateNotNull,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/NoPrimaryKeyNullTypes.java,io.realm.entities.NoPrimaryKeyNullTypes,setFieldBytesNotNull/1[byte[]],fieldBytesNotNull,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/NoPrimaryKeyNullTypes.java,io.realm.entities.NoPrimaryKeyNullTypes,getFieldDecimal128Null/0,fieldDecimal128Null,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/realm-java/../../realm-java/realm/realm-library/src/androidTest/java/io/realm/entities/NoPrimaryKeyNullTypes.java,io.realm.entities.NoPrimaryKeyNullTypes,setFieldLongNull/1[java.lang.Long],fieldLongNull,3
