file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/test/java/com/gs/fw/common/mithra/test/TestConcurrentQueryIndex.java,com.gs.fw.common.mithra.test.TestConcurrentQueryIndex$PutRunnable,innerclass,3,3,0,3,5,1,0,5,0,0.0,1.0,1.0,3,0,2,1,0,0,2,0,0,0,5,0,0,5,0,0,0,0,0,26,0,2,3,0,3,0,6,8,4,7,1,0,0,0,17,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/test/java/com/gs/fw/common/mithra/test/TestConcurrentDatedObjectIndex.java,com.gs.fw.common.mithra.test.TestConcurrentDatedObjectIndex$GetIfAbsentPutAndRemoveRunnable,innerclass,3,3,0,3,5,1,0,4,0,0.0,1.0,1.0,3,0,2,1,0,0,2,0,0,0,7,0,0,7,0,0,0,0,0,29,0,2,2,0,2,0,5,11,3,9,1,0,0,0,30,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/test/java/com/gs/fw/common/mithra/test/TestUtf8TestCharset.java,com.gs.fw.common.mithra.test.TestUtf8TestCharset,class,8,9,1,8,6,2,0,28,4,0.6666667,0.16666667,0.16666667,4,0,1,0,3,0,4,0,0,0,3,2,0,2,1,0,2,0,2,46,1,1,0,0,0,12,16,18,3,11,2,0,0,0,48,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/main/java/com/gs/fw/common/mithra/finder/orderby/LongOrderBy.java,com.gs.fw.common.mithra.finder.orderby.LongOrderBy,class,3,3,0,3,4,2,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,5,0,3,2,0,2,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/main/java/com/gs/fw/common/mithra/notification/server/Message.java,com.gs.fw.common.mithra.notification.server.Message,class,3,13,10,3,49,1,0,25,359,0.9318682,0.24333334,0.8433333,35,4,24,11,0,0,25,0,0,0,26,19,16,10,0,0,19,0,8,207,18,1,9,1,19,25,55,51,28,37,2,0,0,0,107,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/main/java/com/gs/fw/common/mithra/database/SqlLogSnooper.java,com.gs.fw.common.mithra.database.SqlLogSnooper,class,2,4,2,2,66,1,0,16,0,0.484375,0.9404762,1.0,64,2,64,0,0,0,64,0,0,0,2,1,0,2,0,0,0,0,0,202,12,0,2,0,0,0,0,4,0,4,1,0,0,0,39,1,50
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/test/java/com/gs/fw/common/mithra/test/aggregate/TestMax.java,com.gs.fw.common.mithra.test.aggregate.TestMax,class,20,21,1,20,172,3,0,63,899,0.95348835,0.0022148394,0.0022148394,43,0,43,0,0,0,43,0,0,0,2,2,0,2,0,0,2,0,0,892,1,30,2,0,0,299,386,206,1,200,2,0,0,0,81,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/test/java/com/gs/fw/common/mithra/test/domain/dated/NotDatedWithBusinessDateDatabaseObject.java,com.gs.fw.common.mithra.test.domain.dated.NotDatedWithBusinessDateDatabaseObject,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/main/java/com/gs/fw/common/mithra/cache/FullUniqueIndex.java,com.gs.fw.common.mithra.cache.FullUniqueIndex$Anonymous1,anonymous,2,2,0,2,6,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,4,0,0,0,0,4,0,3,3,0,0,0,13,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/reladomo/../../reladomo/reladomo/src/test/java/com/gs/fw/common/mithra/test/domain/model/refactored/placeholder/RestrictionList.java,com.gs.fw.common.mithra.test.domain.model.refactored.placeholder.RestrictionList,class,2,2,0,2,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
