file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/security/src/main/java/org/restheart/security/authorizers/GlobalPredicatesVetoer.java,org.restheart.security.authorizers.GlobalPredicatesVetoer,class,5,5,0,5,2,1,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,3,0,0,0,2,0,0,0,1,19,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,class,9,9,0,9,14,3,0,33,4,0.4,0.3,0.3,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,2,0,9,72,0,0,8,0,0,69,4,32,7,18,0,0,0,0,90,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/ETagIT.java,org.restheart.test.integration.ETagIT,class,4,4,0,4,5,2,0,13,0,0.36,0.6,0.6,5,0,5,0,0,0,5,0,0,0,5,0,0,4,0,1,4,0,20,57,0,0,0,0,0,135,3,27,9,7,0,0,0,0,53,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/mongodb/src/main/java/org/restheart/mongodb/utils/LogUtils.java,org.restheart.mongodb.utils.LogUtils$Level,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/mongodb/src/main/java/org/restheart/mongodb/handlers/schema/JsonSchemaNotFoundException.java,org.restheart.mongodb.handlers.schema.JsonSchemaNotFoundException,class,0,1,1,0,4,3,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/mongodb/src/main/java/org/restheart/mongodb/security/BaseAllowInitializer.java,org.restheart.mongodb.security.BaseAllowInitializer,class,2,5,3,2,2,1,3,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,1,1,0,0,0,0,1,0,0,0,11,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/mongodb/src/main/java/org/restheart/mongodb/db/Databases.java,org.restheart.mongodb.db.Databases,class,22,26,4,22,53,1,0,58,83,0.82575756,0.2809524,0.2809524,22,1,19,2,0,1,21,0,0,0,6,3,1,5,0,0,5,0,18,192,29,0,10,0,3,13,12,36,11,38,4,0,0,5,159,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/commons/src/main/java/org/restheart/exchange/GraphQLRequest.java,org.restheart.exchange.GraphQLRequest,class,10,13,3,10,32,4,0,23,39,0.8,0.0952381,0.0952381,11,3,7,4,0,0,7,0,0,0,5,4,0,5,0,0,5,0,6,89,11,0,1,0,1,14,1,12,1,12,3,0,0,0,65,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/mongodb/src/main/java/org/restheart/mongodb/interceptors/DbPropsInjector.java,org.restheart.mongodb.interceptors.DbPropsInjector,class,11,12,1,11,18,1,0,33,0,0.33333334,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,3,52,5,0,5,1,2,11,1,7,2,5,3,0,0,0,70,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/main/java/org/restheart/security/handlers/AuthenticatorMechanismsHandler.java,org.restheart.security.handlers.AuthenticatorMechanismsHandler,class,7,8,1,7,5,2,0,10,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,2,20,0,0,1,0,0,1,0,3,0,5,1,0,0,3,46,1,0
