file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/security/src/main/java/org/restheart/security/authorizers/GlobalPredicatesVetoer.java,org.restheart.security.authorizers.GlobalPredicatesVetoer,isAllowed/1[org.restheart.security.authorizers.Request<?>],registry,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,createTestData/0,COLL,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,createTestData/0,resp,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,createTestData/0,DB,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentOperators/0,COLL,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentOperators/0,resp,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentOperators/0,DB,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentDotNotation/0,COLL,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentDotNotation/0,resp,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentDotNotation/0,DB,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/ETagIT.java,org.restheart.test.integration.ETagIT,testUpdateRequired/0,COLL,3
