file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/security/src/main/java/org/restheart/security/authorizers/GlobalPredicatesVetoer.java,org.restheart.security.authorizers.GlobalPredicatesVetoer,isAllowed/1[org.restheart.security.authorizers.Request<?>],request,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/security/src/main/java/org/restheart/security/authorizers/GlobalPredicatesVetoer.java,org.restheart.security.authorizers.GlobalPredicatesVetoer,isAllowed/1[org.restheart.security.authorizers.Request<?>],predicate,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/security/src/main/java/org/restheart/security/authorizers/GlobalPredicatesVetoer.java,org.restheart.security.authorizers.GlobalPredicatesVetoer,isAuthenticationRequired/1[org.restheart.security.authorizers.Request<?>],request,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentOperators/0,rbody,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentOperators/0,$date,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostDocumentOperators/0,timestamp,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostCollection/0,headers,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostCollection/0,response,18
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostCollection/0,locationH,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/restheart/../../restheart/core/src/test/java/org/restheart/test/integration/PostCollectionIT.java,org.restheart.test.integration.PostCollectionIT,testPostCollection/0,httpResp,1
