file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/utils/FieldsRSASecureProviderTest.java,org.sagacity.sqltoy.utils.FieldsRSASecureProviderTest,class,4,4,0,4,4,1,0,5,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,1,0,8,0,5,0,4,1,0,0,0,19,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/CrossDbAdapter.java,org.sagacity.sqltoy.plugins.CrossDbAdapter,class,13,17,4,13,15,1,0,29,15,0.8333333,0.0,0.0,6,6,5,1,0,0,5,0,0,0,1,1,0,0,1,0,1,0,9,75,1,1,4,1,0,6,2,11,2,19,3,0,0,5,46,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,class,3,4,1,3,98,1,0,0,4655,0.9799996,0.010309278,0.010309278,98,0,98,0,0,0,98,0,0,0,50,1,0,50,0,0,1,0,0,346,49,0,0,0,0,5,4,63,0,50,0,0,0,0,167,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/translate/cache/TranslateCacheManager.java,org.sagacity.sqltoy.translate.cache.TranslateCacheManager,class,2,8,6,2,9,1,2,0,34,0.8333334,0.027777778,0.027777778,9,0,9,0,0,0,9,6,0,0,2,0,0,1,1,0,0,0,0,19,1,0,0,0,0,0,0,3,0,2,0,0,0,0,24,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/function/impl/Length.java,org.sagacity.sqltoy.plugins.function.impl.Length,class,1,1,0,1,21,2,0,4,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,1,31,9,0,13,0,0,10,0,2,0,2,2,0,0,0,22,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/overtime/DefaultOverTimeHandler.java,org.sagacity.sqltoy.plugins.overtime.DefaultOverTimeHandler,class,4,6,2,4,14,1,0,30,0,0.33333334,1.0,1.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,78,4,2,2,0,0,2,14,12,6,11,3,2,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/model/ParamsFilter.java,org.sagacity.sqltoy.model.ParamsFilter,class,6,13,7,6,54,1,0,10,161,0.892857,0.3647059,1.0,35,0,35,0,0,0,35,0,0,0,16,1,0,16,0,0,1,0,1,200,34,0,12,0,2,41,4,55,0,16,1,0,0,0,77,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/callback/DataSourceCallbackHandler.java,org.sagacity.sqltoy.callback.DataSourceCallbackHandler,class,0,30,30,0,3,1,0,0,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,2,0,1,0,0,0,0,23,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/dialect/utils/SqlServerDialectUtils.java,org.sagacity.sqltoy.dialect.utils.SqlServerDialectUtils,class,36,41,5,36,192,1,0,150,89,0.90476185,0.018181818,0.018181818,14,14,11,3,0,0,11,0,0,0,3,3,0,2,1,0,1,0,80,838,23,16,70,0,26,205,68,225,31,157,6,4,0,0,236,1,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/demo/vo/StaffInfoVO.java,org.sagacity.sqltoy.demo.vo.StaffInfoVO,class,3,7,4,3,54,1,0,0,1375,0.9636489,0.019566737,0.019566737,54,0,54,0,0,0,54,0,0,0,27,1,0,27,0,0,1,0,0,190,26,0,0,0,0,1,1,28,0,27,0,0,0,0,75,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/model/TreeTableModel.java,org.sagacity.sqltoy.model.TreeTableModel,class,1,12,11,1,31,1,0,0,395,0.9182796,0.07526882,0.41935483,31,0,31,0,0,0,31,0,0,0,15,1,0,15,0,0,1,0,0,131,28,0,0,0,0,4,2,32,0,15,0,0,0,0,53,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/model/DateType.java,org.sagacity.sqltoy.model.DateType,enum,0,2,2,0,2,1,0,0,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,8,0,1,0,1,0,0,0,0,27,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/config/model/CacheFilterModel.java,org.sagacity.sqltoy.config.model.CacheFilterModel,class,0,3,3,0,8,1,0,0,20,0.8,0.14285715,0.14285715,8,0,8,0,0,0,8,0,0,0,5,1,0,5,0,0,1,0,0,31,4,0,0,0,0,1,1,6,0,5,0,0,0,0,25,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/function/impl/Trim.java,org.sagacity.sqltoy.plugins.function.impl.Trim,class,1,1,0,1,5,2,0,1,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,1,18,5,0,2,0,0,5,2,1,2,1,1,0,0,0,17,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/utils/SqlUtilsExt.java,org.sagacity.sqltoy.utils.SqlUtilsExt,class,10,24,14,10,95,1,0,45,26,0.75,0.04761905,0.04761905,8,7,7,1,0,0,7,0,0,0,1,1,0,1,0,0,1,0,20,201,14,4,42,3,8,26,15,53,5,28,6,0,0,0,98,1,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/model/QueryResult.java,org.sagacity.sqltoy.model.QueryResult,class,4,49,45,4,11,2,0,9,11,0.75,0.23809524,0.23809524,7,0,7,0,0,0,7,0,0,0,4,1,0,4,0,0,1,0,0,41,4,0,4,0,0,0,1,6,0,5,1,0,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/model/DataAuthFilterConfig.java,org.sagacity.sqltoy.model.DataAuthFilterConfig,class,1,5,4,1,8,1,0,0,20,0.8,0.14285715,0.14285715,8,0,8,0,0,0,8,0,0,0,5,1,0,5,0,0,1,0,0,35,8,0,0,0,0,0,1,7,0,5,0,0,0,0,31,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/config/model/KeyAndIndex.java,org.sagacity.sqltoy.config.model.KeyAndIndex,class,0,3,3,0,4,1,0,0,2,0.6666667,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,17,2,0,0,0,0,0,1,3,0,3,0,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/dialect/impl/ImpalaDialect.java,org.sagacity.sqltoy.dialect.impl.ImpalaDialect$Anonymous1,anonymous,2,2,0,2,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,2,0,2,0,2,1,0,0,0,12,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/dialect/utils/KingbaseDialectUtils.java,org.sagacity.sqltoy.dialect.utils.KingbaseDialectUtils,class,1,7,6,1,4,1,0,1,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,15,4,0,1,0,0,1,0,1,0,1,1,0,0,0,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/support/SpringDaoSupport.java,org.sagacity.sqltoy.support.SpringDaoSupport,class,4,7,3,4,1,2,2,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/model/Page.java,org.sagacity.sqltoy.model.Page,class,2,21,19,2,38,1,0,6,144,0.825,0.26,0.57666665,25,0,25,0,0,0,25,0,0,0,8,1,0,8,0,0,1,0,0,134,30,0,3,0,3,0,29,18,13,10,1,0,0,0,54,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/utils/IdUtilTest.java,org.sagacity.sqltoy.utils.IdUtilTest,class,4,4,0,4,10,1,0,13,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,53,0,4,0,0,1,14,11,14,5,14,2,0,0,0,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/dialect/utils/SqlServerDialectUtils.java,org.sagacity.sqltoy.dialect.utils.SqlServerDialectUtils$Anonymous3,anonymous,3,3,0,3,5,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28,0,1,0,0,0,9,2,3,1,2,2,0,0,0,13,-1,0
