file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/utils/FieldsRSASecureProviderTest.java,org.sagacity.sqltoy.utils.FieldsRSASecureProviderTest,init/0,fieldsSecureProvider,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/utils/FieldsRSASecureProviderTest.java,org.sagacity.sqltoy.utils.FieldsRSASecureProviderTest,testEncrypt/0,fieldsSecureProvider,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/utils/FieldsRSASecureProviderTest.java,org.sagacity.sqltoy.utils.FieldsRSASecureProviderTest,testDecrypt/0,fieldsSecureProvider,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/CrossDbAdapter.java,org.sagacity.sqltoy.plugins.CrossDbAdapter,"doQuery/3[org.sagacity.sqltoy.SqlToyContext,org.sagacity.sqltoy.model.QueryExecutor,org.sagacity.sqltoy.callback.DbAdapterHandler]",logger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setOverTimeSqlHandler/1[java.lang.String],overTimeSqlHandler,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setDataSourceSelector/1[java.lang.String],dataSourceSelector,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,"setDialectMap/1[java.util.Map<java.lang.String,java.lang.String>]",dialectMap,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setSecurePublicKey/1[java.lang.String],securePublicKey,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,isSplitMergeInto/0,splitMergeInto,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getDialectDDLGenerator/0,dialectDDLGenerator,1
