file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/utils/FieldsRSASecureProviderTest.java,org.sagacity.sqltoy.utils.FieldsRSASecureProviderTest,init/0,false,12,3,2,0,2,2,2,11,0,2,0,2,0,0,0,0,1,0,2,0,3,0,1,0,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/utils/FieldsRSASecureProviderTest.java,org.sagacity.sqltoy.utils.FieldsRSASecureProviderTest,testEncrypt/0,false,29,2,1,0,1,1,2,6,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/test/java/org/sagacity/sqltoy/utils/FieldsRSASecureProviderTest.java,org.sagacity.sqltoy.utils.FieldsRSASecureProviderTest,testDecrypt/0,false,37,2,2,0,2,1,3,6,0,1,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/CrossDbAdapter.java,org.sagacity.sqltoy.plugins.CrossDbAdapter,"redoRandomQuery/4[org.sagacity.sqltoy.SqlToyContext,org.sagacity.sqltoy.dialect.DialectFactory,org.sagacity.sqltoy.model.QueryExecutor,double]",false,101,4,6,4,2,1,2,6,0,2,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,14,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/CrossDbAdapter.java,org.sagacity.sqltoy.plugins.CrossDbAdapter,"doQuery/3[org.sagacity.sqltoy.SqlToyContext,org.sagacity.sqltoy.model.QueryExecutor,org.sagacity.sqltoy.callback.DbAdapterHandler]",false,114,9,21,5,16,8,17,37,1,8,3,17,0,0,1,3,1,0,6,2,10,2,3,0,0,0,28,10,1,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/CrossDbAdapter.java,org.sagacity.sqltoy.plugins.CrossDbAdapter,"redoTopQuery/4[org.sagacity.sqltoy.SqlToyContext,org.sagacity.sqltoy.dialect.DialectFactory,org.sagacity.sqltoy.model.QueryExecutor,double]",false,87,4,6,4,2,1,2,6,0,2,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,14,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/CrossDbAdapter.java,org.sagacity.sqltoy.plugins.CrossDbAdapter,"redoPageQuery/4[org.sagacity.sqltoy.SqlToyContext,org.sagacity.sqltoy.dialect.DialectFactory,org.sagacity.sqltoy.model.QueryExecutor,org.sagacity.sqltoy.model.Page]",false,54,5,11,4,7,3,7,11,0,2,4,7,1,1,0,1,0,0,0,0,0,0,2,0,0,1,14,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/CrossDbAdapter.java,org.sagacity.sqltoy.plugins.CrossDbAdapter,"redoQuery/3[org.sagacity.sqltoy.SqlToyContext,org.sagacity.sqltoy.dialect.DialectFactory,org.sagacity.sqltoy.model.QueryExecutor]",false,73,4,9,7,2,1,2,6,0,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,11,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-orm/src/main/java/org/sagacity/sqltoy/plugins/CrossDbAdapter.java,org.sagacity.sqltoy.plugins.CrossDbAdapter,"redoCountQuery/3[org.sagacity.sqltoy.SqlToyContext,org.sagacity.sqltoy.dialect.DialectFactory,org.sagacity.sqltoy.model.QueryExecutor]",false,40,4,5,3,2,1,2,6,0,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,12,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setOverTimeSqlHandler/1[java.lang.String],false,599,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setDataSourceSelector/1[java.lang.String],false,515,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,"setDialectMap/1[java.util.Map<java.lang.String,java.lang.String>]",false,707,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setSecurePublicKey/1[java.lang.String],false,567,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,isSplitMergeInto/0,false,627,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getDialectDDLGenerator/0,false,746,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getUnifyFieldsHandler/0,false,350,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setSqlResources/1[java.lang.String[]],false,437,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getDataSourceSelector/0,false,508,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setExecuteSqlBlankToNull/1[boolean],false,655,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getTranslateConfig/0,false,287,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setTypeHandler/1[java.lang.String],false,487,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getCustomFilterHandler/0,false,587,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getFetchSize/0,false,522,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setTaskExecutor/1[org.sagacity.sqltoy.configure.SqlToyContextTaskPoolProperties],false,671,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setDesensitizeProvider/1[java.lang.String],false,583,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getColumnLabelUpperOrLower/0,false,603,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getSqlResources/0,false,433,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getSqlFormater/0,false,675,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setDefaultPageSize/1[int],false,687,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,isDefaultPageOffset/0,false,691,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setDebug/1[java.lang.Boolean],false,302,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,isBreakWhenSqlRepeat/0,false,544,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getUpdateTipCount/0,false,643,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setTranslateConfig/1[java.lang.String],false,294,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getHumpMapResultTypeLabel/0,false,635,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getEncoding/0,false,401,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setUpdateTipCount/1[int],false,647,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setCustomFilterHandler/1[java.lang.String],false,591,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getSqlResourcesDir/0,false,273,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setUnifyFieldsHandler/1[java.lang.String],false,357,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getRedoDataSources/0,false,611,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getPageFetchSizeLimit/0,false,385,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setFetchSize/1[int],false,529,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setRedoDataSources/1[java.lang.String[]],false,615,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setHumpMapResultTypeLabel/1[java.lang.Boolean],false,639,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setTranslateCacheManager/1[java.lang.String],false,473,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,setColumnLabelUpperOrLower/1[java.lang.String],false,607,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sagacity-sqltoy/../../sagacity-sqltoy/trunk/sqltoy-spring-boot-starter/src/main/java/org/sagacity/sqltoy/configure/SqlToyContextProperties.java,org.sagacity.sqltoy.configure.SqlToyContextProperties,getDefaultPageSize/0,false,683,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
