file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/schema-loader/src/test/java/com/scalar/db/schemaloader/SchemaLoaderTest.java,com.scalar.db.schemaloader.SchemaLoaderTest,class,9,9,0,9,52,1,0,51,0,0.575,0.9622926,1.0,52,0,52,0,0,0,52,0,0,0,10,1,0,10,0,0,1,0,52,321,0,0,0,0,0,1,0,3,0,10,0,0,0,3,70,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/rpc/src/main/java/com/scalar/db/rpc/TransactionRequest.java,com.scalar.db.rpc.TransactionRequest$CommitRequestOrBuilder,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/core/src/main/java/com/scalar/db/io/IntColumn.java,com.scalar.db.io.IntColumn,class,6,39,33,6,23,1,0,19,0,0.47058824,0.4945055,0.6043956,17,2,14,3,0,0,14,0,0,0,3,0,0,3,0,0,3,0,5,71,17,0,3,0,1,3,1,4,0,4,1,0,0,0,44,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/rpc/src/main/java/com/scalar/db/rpc/TwoPhaseCommitTransactionResponse.java,com.scalar.db.rpc.TwoPhaseCommitTransactionResponse$GetResponseOrBuilder,interface,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/rpc/src/main/java/com/scalar/db/rpc/TwoPhaseCommitTransactionRequest.java,com.scalar.db.rpc.TwoPhaseCommitTransactionRequest$CommitRequest$Builder,innerclass,13,13,0,13,29,1,0,23,210,0.0,0.0,0.0,21,1,18,2,1,0,19,0,4,0,0,0,0,0,0,0,0,0,2,107,21,1,2,1,0,0,1,6,0,4,4,0,0,0,50,25,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/core/src/main/java/com/scalar/db/exception/transaction/UnsatisfiedConditionException.java,com.scalar.db.exception.transaction.UnsatisfiedConditionException,class,1,9,8,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/core/src/test/java/com/scalar/db/storage/dynamo/DynamoOperationCheckerTest.java,com.scalar.db.storage.dynamo.DynamoOperationCheckerTest,class,12,12,0,12,15,1,0,45,0,0.52121216,1.0,1.0,15,0,13,2,0,0,13,0,0,0,11,8,0,11,0,0,8,0,30,112,2,0,0,0,0,9,46,23,0,25,0,0,0,50,78,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/rpc/src/main/java/com/scalar/db/rpc/GetNamespaceTableNamesRequest.java,com.scalar.db.rpc.GetNamespaceTableNamesRequest$Anonymous1,anonymous,4,4,0,4,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,1,0,1,1,0,0,0,14,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/schema-loader/src/test/java/com/scalar/db/schemaloader/command/DynamoCommandTest.java,com.scalar.db.schemaloader.command.DynamoCommandTest,class,7,8,1,7,20,2,0,36,49,0.64285713,0.15151516,0.15151516,14,0,11,2,1,0,12,0,0,0,8,8,0,8,0,0,8,0,9,164,1,0,0,0,0,59,2,27,0,27,1,0,0,0,74,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/scalardb/../../scalardb/core/src/integration-test/java/com/scalar/db/storage/jdbc/JdbcAdminTestUtils.java,com.scalar.db.storage.jdbc.JdbcAdminTestUtils,class,13,19,6,13,19,2,0,23,0,0.44444442,0.8,1.0,12,0,11,1,0,0,11,0,0,0,3,0,0,3,0,0,3,0,3,85,4,0,0,3,0,12,1,20,4,17,2,0,0,0,86,1,0
