file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/test/it/parser/src/main/java/org/apache/shardingsphere/test/it/sql/parser/internal/cases/parser/jaxb/statement/rql/rule/mask/CountMaskRuleStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.rql.rule.mask.CountMaskRuleStatementTestCase,class,1,2,1,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/test/it/parser/src/main/java/org/apache/shardingsphere/test/it/sql/parser/internal/cases/parser/jaxb/statement/ddl/CreateConversionStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.ddl.CreateConversionStatementTestCase,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/test/it/parser/src/main/java/org/apache/shardingsphere/test/it/sql/parser/internal/asserts/statement/dal/impl/ExplainStatementAssert.java,org.apache.shardingsphere.test.it.sql.parser.internal.asserts.statement.dal.impl.ExplainStatementAssert,class,7,9,2,7,11,1,0,17,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,44,0,0,6,0,0,8,0,0,0,0,2,0,0,0,32,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/kernel/data-pipeline/scenario/consistencycheck/src/main/java/org/apache/shardingsphere/data/pipeline/scenario/consistencycheck/ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,class,7,9,2,7,6,1,0,5,0,0.55,0.6,0.6,5,1,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,3,23,2,0,0,0,0,0,1,4,2,4,0,0,0,0,21,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/infra/database/core/src/main/java/org/apache/shardingsphere/infra/database/core/metadata/data/model/SchemaMetaData.java,org.apache.shardingsphere.infra.database.core.metadata.data.model.SchemaMetaData,class,5,20,15,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/kernel/sql-federation/distsql/handler/src/test/java/org/apache/shardingsphere/sqlfederation/distsql/handler/update/AlterSQLFederationRuleExecutorTest.java,org.apache.shardingsphere.sqlfederation.distsql.handler.update.AlterSQLFederationRuleExecutorTest,class,9,10,1,9,2,1,0,16,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,4,4,0,4,0,0,0,0,27,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/features/readwrite-splitting/core/src/test/java/org/apache/shardingsphere/readwritesplitting/yaml/swapper/YamlReadwriteSplittingRuleConfigurationSwapperTest.java,org.apache.shardingsphere.readwritesplitting.yaml.swapper.YamlReadwriteSplittingRuleConfigurationSwapperTest,class,9,10,1,9,7,1,0,27,21,0.0,0.0,0.0,7,0,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,46,3,0,0,0,0,22,4,9,0,9,0,0,0,0,30,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,class,27,29,2,27,50,1,0,66,0,0.75,0.85714287,0.85714287,20,0,14,6,0,0,14,0,0,0,4,0,0,4,0,0,2,0,15,212,16,1,5,11,0,1,4,19,3,20,2,1,0,1,101,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/kernel/data-pipeline/core/src/main/java/org/apache/shardingsphere/data/pipeline/core/execute/AbstractPipelineLifecycleRunnable.java,org.apache.shardingsphere.data.pipeline.core.execute.AbstractPipelineLifecycleRunnable,class,3,6,3,3,12,1,2,14,9,0.5833334,0.2,0.2,6,0,3,0,3,0,6,2,3,0,2,0,0,2,0,0,1,0,5,39,4,0,3,1,0,2,0,5,1,5,1,0,0,0,30,1025,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/shardingsphere/../../shardingsphere/proxy/frontend/type/postgresql/src/main/java/org/apache/shardingsphere/proxy/frontend/postgresql/authentication/authenticator/PostgreSQLAuthenticatorType.java,org.apache.shardingsphere.proxy.frontend.postgresql.authentication.authenticator.PostgreSQLAuthenticatorType,enum,4,6,2,4,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,1,0
