file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,interface,3,23,20,3,12,1,0,0,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,class,2,7,5,2,21,1,0,4,51,0.8333334,0.22857143,0.62857145,15,2,7,0,0,8,15,0,0,0,10,4,4,6,0,0,5,0,1,85,8,0,1,0,3,5,4,23,0,13,1,0,0,0,44,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/DocumentLoader.java,oracle.json.parser.DocumentLoader,class,9,15,6,9,31,1,1,16,0,0.14285715,0.95238096,1.0,7,0,5,0,2,0,7,0,0,0,2,0,0,0,2,0,2,0,0,125,5,3,0,1,5,1,8,26,4,12,3,0,0,0,41,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/rdbms/impl/SODAUtils.java,oracle.soda.rdbms.impl.SODAUtils$1OracleBatchSQLException,innerclass,2,2,0,2,2,5,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ProjectionSpec.java,oracle.json.parser.ProjectionSpec,class,12,14,2,12,46,1,0,25,37,0.8671329,0.19444445,0.5833333,11,1,7,2,0,2,9,0,0,0,13,0,0,13,0,0,2,0,3,158,14,6,5,4,10,5,7,49,0,29,5,0,0,0,93,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/JsonQueryPath.java,oracle.json.parser.JsonQueryPath,class,4,14,10,4,40,1,0,11,11,0.6964286,0.3846154,0.5769231,14,0,11,1,0,2,13,0,0,0,4,0,0,4,0,0,0,0,0,91,16,5,18,0,19,9,10,17,3,10,3,0,0,0,86,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/test/src/oracle/json/tests/soda/test_OracleOperationBuilder.java,oracle.json.tests.soda.test_OracleOperationBuilder,class,14,15,1,14,176,5,0,70,351,0.0,0.0,0.0,27,0,23,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,56,1257,6,27,17,31,71,460,315,349,86,185,2,0,0,0,248,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/rdbms/impl/cache/CacheOfDescriptorCaches.java,oracle.soda.rdbms.impl.cache.CacheOfDescriptorCaches,class,2,3,1,2,4,1,0,4,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,2,2,0,0,2,0,0,2,0,0,21,3,0,0,0,0,0,0,3,0,3,1,0,0,0,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/IndexSpecification.java,oracle.json.parser.IndexSpecification,class,14,17,3,14,188,1,0,30,0,0.8456142,0.61764705,0.88235295,19,2,17,2,0,0,17,0,0,0,15,0,0,15,0,0,2,0,4,352,16,3,47,3,31,212,7,135,0,47,33,0,0,0,134,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/test/src/oracle/json/testharness/SodaTestCase.java,oracle.json.testharness.SodaTestCase$SrearchIndexType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
