file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,setBooleanValue/1[boolean],booleanValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,"ValueTypePair/2[java.lang.String,int]",stringValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,"ValueTypePair/2[java.lang.String,int]",type,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,isDate/0,dateFlag,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getBooleanValue/0,booleanValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,ValueTypePair/1[int],type,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,setNumberValue/1[java.math.BigDecimal],numberValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getType/0,type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getNumberValue/0,numberValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getStringType/1[int],TYPE_NULL,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getStringType/1[int],TYPE_STRING,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getStringType/1[int],TYPE_BOOLEAN,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getStringType/1[int],type,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getStringType/1[int],TYPE_NUMBER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,getStringValue/0,stringValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,setStringValue/1[java.lang.String],stringValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,isTimestamp/0,timestampFlag,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,"ValueTypePair/2[boolean,int]",booleanValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,"ValueTypePair/2[boolean,int]",type,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,"ValueTypePair/2[java.math.BigDecimal,int]",numberValue,1
