file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,save/1[oracle.soda.OracleDocument],false,140,1,7,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,find/0,false,15,1,108,108,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,insertAndGet/1[oracle.soda.OracleDocument],false,65,1,84,84,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,insert/1[java.util.Iterator<oracle.soda.OracleDocument>],false,241,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,insertAndGet/1[java.util.Iterator<oracle.soda.OracleDocument>],false,277,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,"insertAndGet/2[java.util.Iterator<oracle.soda.OracleDocument>,java.util.Map<java.lang.String,?>]",false,319,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,insert/1[oracle.soda.OracleDocument],false,38,1,40,40,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,admin/0,false,370,1,86,86,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,"insertAndGet/2[oracle.soda.OracleDocument,java.util.Map<java.lang.String,?>]",false,99,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/soda-for-java/../../soda-for-java/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,"saveAndGet/2[oracle.soda.OracleDocument,java.util.Map<java.lang.String,?>]",false,200,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,0,true
