file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/test/org/apache/solr/search/join/TestNestedDocsSort.java,org.apache.solr.search.join.TestNestedDocsSort,class,10,11,1,10,18,2,0,24,120,0.0,0.0,0.0,16,1,12,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,86,1,1,0,2,0,38,3,11,2,10,3,0,0,0,71,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/test/org/apache/solr/schema/TestManagedSchemaThreadSafety.java,org.apache.solr.schema.TestManagedSchemaThreadSafety$SuspendingZkClient,innerclass,7,7,0,7,6,2,0,8,3,0.6666667,0.0,0.0,3,0,1,1,0,1,2,0,0,0,2,1,0,1,0,1,1,0,3,29,3,0,2,1,1,0,2,4,0,4,2,0,0,0,41,26,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/java/org/apache/solr/pkg/PackageAPI.java,org.apache.solr.pkg.PackageAPI$PkgVersion,innerclass,4,4,0,4,9,1,0,5,3,0.56666666,0.4,0.4,6,0,6,0,0,0,6,0,0,0,5,0,5,0,0,0,0,0,4,43,5,0,1,1,0,1,0,12,0,7,1,0,0,0,30,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/test/org/apache/solr/cloud/MultiSolrCloudTestCaseTest.java,org.apache.solr.cloud.MultiSolrCloudTestCaseTest,class,5,5,0,5,4,2,0,5,0,0.4,1.0,1.0,2,1,2,0,0,0,2,0,0,0,5,5,0,5,0,0,0,0,0,43,0,2,0,0,2,3,10,11,7,9,1,2,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/java/org/apache/solr/search/SolrIndexSearcher.java,org.apache.solr.search.SolrIndexSearcher,class,104,228,124,104,374,3,0,290,3885,0.968687,0.04936937,0.29585585,94,4,71,19,3,1,75,0,8,0,53,19,9,41,0,3,45,0,63,1486,117,29,144,11,45,68,111,402,26,295,5,8,3,22,665,1,10
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/java/org/apache/solr/cli/VersionTool.java,org.apache.solr.cli.VersionTool,class,4,5,1,4,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,2,0,0,1,0,0,0,0,0,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/java/org/apache/solr/schema/PreAnalyzedField.java,org.apache.solr.schema.PreAnalyzedField$PreAnalyzedTokenizer,innerclass,7,7,0,7,14,2,0,15,18,0.7619047,0.14285715,0.2857143,9,0,7,2,0,0,7,0,2,0,7,0,0,7,0,0,1,0,0,67,5,0,3,1,0,0,0,16,0,10,3,0,0,0,69,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/java/org/apache/solr/handler/admin/SolrInfoMBeanHandler.java,org.apache.solr.handler.admin.SolrInfoMBeanHandler,class,14,15,1,14,54,2,0,55,66,0.0,0.0,0.0,12,1,7,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,6,195,14,10,11,2,5,32,8,52,7,43,5,0,0,0,127,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/core/src/test/org/apache/solr/cloud/TestConfigSetsAPI.java,org.apache.solr.cloud.TestConfigSetsAPI$MockAuthorizationPlugin,innerclass,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/solr/../../solr/solr/modules/analysis-extras/src/test/org/apache/solr/schema/TestICUCollationFieldUDVAS.java,org.apache.solr.schema.TestICUCollationFieldUDVAS$Mode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
