file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/runtime-parent/runtime-field/src/main/java/com/speedment/runtime/field/predicate/SpeedmentPredicate.java,com.speedment.runtime.field.predicate.SpeedmentPredicate,interface,7,20,13,7,4,1,0,3,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,0,0,0,0,0,0,0,1,0,0,0,1,33,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/runtime-parent/runtime-field/src/test/java/com/speedment/runtime/field/AbstractStringFieldTest.java,com.speedment.runtime.field.AbstractStringFieldTest,class,13,16,3,13,48,2,2,56,0,0.72,0.8466667,0.92,25,0,1,0,0,24,25,0,0,0,4,0,0,3,1,0,2,0,7,149,0,0,14,0,0,53,14,42,0,58,0,0,0,30,73,1024,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/runtime-parent/runtime-core/src/main/java/com/speedment/runtime/core/internal/util/testing/JavaVersionUtil.java,com.speedment.runtime.core.internal.util.testing.JavaVersionUtil$JavaVersion,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/common-parent/codegen/src/main/java/com/speedment/common/codegen/internal/GeneratorImpl.java,com.speedment.common.codegen.internal.GeneratorImpl,class,15,18,3,15,6,1,0,28,0,0.5,0.6,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,8,38,4,0,0,0,0,2,0,7,0,10,1,0,0,3,50,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/common-parent/codegen/src/main/java/com/speedment/common/codegen/internal/java/view/value/ArrayValueView.java,com.speedment.common.codegen.internal.java.view.value.ArrayValueView,class,5,5,0,5,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,16,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/runtime-parent/runtime-join/src/main/java/com/speedment/runtime/join/trait/HasCreateJoin10.java,com.speedment.runtime.join.trait.HasCreateJoin10,interface,5,9,4,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/tool-parent/tool-core/src/test/java/com/speedment/tool/core/internal/controller/ConnectTest.java,com.speedment.tool.core.internal.controller.ConnectTest,class,28,28,0,28,5,2,0,14,6,0.0,0.0,0.0,4,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,6,30,0,0,0,0,0,17,1,4,0,4,1,0,0,0,32,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/runtime-parent/runtime-core/src/main/java/com/speedment/runtime/core/internal/component/sql/override/def/reference/DefaultToArrayTerminator.java,com.speedment.runtime.core.internal.component.sql.override.def.reference.DefaultToArrayTerminator,class,7,8,1,7,2,1,0,7,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,3,12,1,0,0,0,0,0,0,2,0,2,0,0,0,0,32,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/runtime-parent/runtime-core/src/main/java/com/speedment/runtime/core/internal/db/SqlQueryLoggerUtil.java,com.speedment.runtime.core.internal.db.SqlQueryLoggerUtil,class,1,3,2,1,4,1,0,10,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,6,0,1,2,2,1,0,0,1,11,17,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/speedment/../../speedment/common-parent/codegen/src/main/java/com/speedment/common/codegen/model/value/AnonymousValue.java,com.speedment.common.codegen.model.value.AnonymousValue,interface,8,17,9,8,3,1,0,2,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
