file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/debug/repository/PersistenceConstructorClass.java,com.arangodb.springframework.debug.repository.PersistenceConstructorClass,class,3,5,2,3,9,1,0,3,0,0.16666667,0.6666667,0.6666667,6,0,5,0,0,1,6,0,0,0,1,0,0,1,0,0,0,0,2,23,5,0,3,0,0,0,0,3,0,2,1,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,class,13,15,2,13,32,1,0,35,4,0.7604167,0.8333333,0.8333333,16,0,11,5,0,0,12,0,0,0,6,2,0,6,0,0,5,0,5,126,19,1,5,2,4,21,3,21,3,21,2,0,0,1,126,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/example/polymorphic/template/PolymorphicTemplate.java,com.arangodb.springframework.example.polymorphic.template.PolymorphicTemplate,class,19,20,1,19,13,2,0,46,78,0.0,0.0,0.0,13,0,11,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,6,141,1,0,0,0,0,36,18,34,0,36,0,0,0,2,48,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/core/mapping/GeneralMappingTest.java,com.arangodb.springframework.core.mapping.GeneralMappingTest$ArangoIdAndIdTestEntity,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/core/template/ArangoExtCursor.java,com.arangodb.springframework.core.template.ArangoExtCursor,class,8,10,2,8,20,1,0,21,6,0.6875,0.53333336,0.62857145,16,0,15,1,0,0,15,0,0,0,3,0,0,3,0,0,3,0,1,69,13,1,2,1,0,1,0,5,0,5,1,0,0,0,50,0,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/core/template/ArangoIndexTest.java,com.arangodb.springframework.core.template.ArangoIndexTest$GeoIndexedSingleFieldTestEntity,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/core/mapping/CustomMappingTest.java,com.arangodb.springframework.core.mapping.CustomMappingTest$CustomJsonNodeTestEntity,innerclass,1,1,0,1,4,1,0,0,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,2,0,1,0,0,0,0,9,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/core/template/ArangoTemplateTest.java,com.arangodb.springframework.core.template.ArangoTemplateTest,class,24,24,0,24,35,2,0,87,528,0.0,0.0,0.0,33,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,17,378,0,2,0,0,0,149,68,118,1,119,1,0,3,6,101,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/core/geo/GeoJsonMultiLineString.java,com.arangodb.springframework.core.geo.GeoJsonMultiLineString,class,4,9,5,4,9,1,0,7,0,0.5,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,2,1,0,2,0,0,1,0,1,32,6,1,1,0,2,3,0,2,0,2,1,0,0,0,40,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/SimpleArangoRepository.java,com.arangodb.springframework.repository.SimpleArangoRepository$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
