file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/debug/repository/PersistenceConstructorClass.java,com.arangodb.springframework.debug.repository.PersistenceConstructorClass,setName/1[java.lang.String],name,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/debug/repository/PersistenceConstructorClass.java,com.arangodb.springframework.debug.repository.PersistenceConstructorClass,equals/1[java.lang.Object],that,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/debug/repository/PersistenceConstructorClass.java,com.arangodb.springframework.debug.repository.PersistenceConstructorClass,equals/1[java.lang.Object],o,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/test/java/com/arangodb/springframework/debug/repository/PersistenceConstructorClass.java,com.arangodb.springframework.debug.repository.PersistenceConstructorClass,PersistenceConstructorClass/1[java.lang.String],name,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResult/1[java.lang.Object],distance,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResult/1[java.lang.Object],slice,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResult/1[java.lang.Object],distSlice,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResult/1[java.lang.Object],distanceInMeters,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResult/1[java.lang.Object],entity,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResult/1[java.lang.Object],object,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResults/1[com.arangodb.springframework.repository.query.ArangoCursor<?>],cursor,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResults/1[com.arangodb.springframework.repository.query.ArangoCursor<?>],geoResult,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-data/../../spring-data/src/main/java/com/arangodb/springframework/repository/query/ArangoResultConverter.java,com.arangodb.springframework.repository.query.ArangoResultConverter,buildGeoResults/1[com.arangodb.springframework.repository.query.ArangoCursor<?>],list,2
