file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/ChoiceRequest.java,com.example.polls.payload.ChoiceRequest,getText/0,false,11,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/ChoiceRequest.java,com.example.polls.payload.ChoiceRequest,setText/1[java.lang.String],false,15,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,setQuestion/1[java.lang.String],false,27,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,getQuestion/0,false,23,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,setPollLength/1[com.example.polls.payload.PollLength],false,43,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,getPollLength/0,false,39,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,setChoices/1[java.util.List<com.example.polls.payload.ChoiceRequest>],false,35,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,getChoices/0,false,31,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/exception/AppException.java,com.example.polls.exception.AppException,"AppException/2[java.lang.String,java.lang.Throwable]",true,12,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/exception/AppException.java,com.example.polls.exception.AppException,AppException/1[java.lang.String],true,8,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/PollsApplication.java,com.example.polls.PollsApplication,init/0,false,19,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,false
