file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/ChoiceRequest.java,com.example.polls.payload.ChoiceRequest,setText/1[java.lang.String],text,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,setQuestion/1[java.lang.String],question,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,setPollLength/1[com.example.polls.payload.PollLength],pollLength,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/payload/PollRequest.java,com.example.polls.payload.PollRequest,setChoices/1[java.util.List<com.example.polls.payload.ChoiceRequest>],choices,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/exception/AppException.java,com.example.polls.exception.AppException,"AppException/2[java.lang.String,java.lang.Throwable]",cause,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/exception/AppException.java,com.example.polls.exception.AppException,"AppException/2[java.lang.String,java.lang.Throwable]",message,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/exception/AppException.java,com.example.polls.exception.AppException,AppException/1[java.lang.String],message,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/PollsApplication.java,com.example.polls.PollsApplication,main/1[java.lang.String[]],args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/exception/ResourceNotFoundException.java,com.example.polls.exception.ResourceNotFoundException,"ResourceNotFoundException/3[java.lang.String,java.lang.String,java.lang.Object]",fieldName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/spring-security-react-ant-design-polls-app/../../spring-security-react-ant-design-polls-app/polling-app-server/src/main/java/com/example/polls/exception/ResourceNotFoundException.java,com.example.polls.exception.ResourceNotFoundException,"ResourceNotFoundException/3[java.lang.String,java.lang.String,java.lang.Object]",resourceName,3
