file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/core/generator/DataGeneratorFactory.java,com.yupi.sqlfather.core.generator.DataGeneratorFactory$Anonymous1,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/core/model/enums/MockTypeEnum.java,com.yupi.sqlfather.core.model.enums.MockTypeEnum,enum,1,8,7,1,7,1,0,7,0,0.25,0.5,0.5,4,2,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,4,22,5,1,0,0,0,6,0,1,0,1,2,0,0,0,28,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/model/dto/UserQueryRequest.java,com.yupi.sqlfather.model.dto.UserQueryRequest,class,3,4,1,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,1,0,9,0,0,1,0,0,11,0,0,0,0,0,0,1,1,0,9,0,0,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/model/enums/ReportStatusEnum.java,com.yupi.sqlfather.model.enums.ReportStatusEnum,enum,1,4,3,1,4,1,0,5,0,0.375,0.33333334,0.5,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,3,16,3,0,0,0,0,2,2,2,0,3,0,0,0,1,22,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/core/model/dto/TypescriptTypeGenerateDTO.java,com.yupi.sqlfather.core.model.dto.TypescriptTypeGenerateDTO,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,1,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/test/java/com/yupi/sqlfather/DruidParserTest.java,com.yupi.sqlfather.DruidParserTest,class,4,4,0,4,2,1,0,15,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,23,0,1,0,0,0,21,0,5,12,5,1,0,0,0,46,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/core/generator/DataGenerator.java,com.yupi.sqlfather.core.generator.DataGenerator,interface,1,9,8,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/utils/SpringContextUtils.java,com.yupi.sqlfather.utils.SpringContextUtils,class,5,6,1,5,4,1,0,1,0,0.0,1.0,1.0,4,3,4,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/aop/LogInterceptor.java,com.yupi.sqlfather.aop.LogInterceptor,class,9,9,0,9,1,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0,1,6,0,9,1,9,0,0,0,0,31,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sql-father-backend-public/../../sql-father-backend-public/src/main/java/com/yupi/sqlfather/model/dto/FieldInfoUpdateRequest.java,com.yupi.sqlfather.model.dto.FieldInfoUpdateRequest,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,1,0,7,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,7,0,0,0,0,22,1,0
