file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/stonedb/oracle/StoneDBQueryPartitioningDistinctTester.java,sqlancer.stonedb.oracle.StoneDBQueryPartitioningDistinctTester,class,4,6,2,4,3,3,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,7,0,7,1,0,0,0,31,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/test/sqlancer/qpg/sqlite/TestSQLiteQPG.java,sqlancer.qpg.sqlite.TestSQLiteQPG,class,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23,1,0,0,0,0,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisInOperation.java,sqlancer.doris.ast.DorisInOperation,class,5,5,0,5,11,2,0,10,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,6,38,7,1,2,0,0,0,0,6,0,5,2,0,0,0,20,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/oceanbase/OceanBaseUserCheckException.java,sqlancer.oceanbase.OceanBaseUserCheckException,class,0,1,1,0,1,4,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/ast/SQLite3RowValueExpression.java,sqlancer.sqlite3.ast.SQLite3RowValueExpression,class,2,6,4,2,5,2,0,1,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,18,3,1,1,0,0,0,0,2,0,2,2,0,0,0,15,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/timescaledb/TimescaleDBSchema.java,sqlancer.timescaledb.TimescaleDBSchema,class,6,8,2,6,5,6,0,7,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,32,1,1,1,1,0,2,0,7,0,7,3,0,1,0,35,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/presto/ast/PrestoConstant.java,sqlancer.presto.ast.PrestoConstant$PrestoJsonConstant,innerclass,4,4,0,4,11,2,0,13,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,7,56,2,0,0,0,0,20,2,22,6,8,2,0,1,0,23,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/ast/YSQLOrderByTerm.java,sqlancer.yugabyte.ysql.ast.YSQLOrderByTerm,class,4,8,4,4,5,1,0,0,6,0.6,0.2,0.3,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,24,3,0,0,0,0,0,0,2,0,2,0,0,1,0,25,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,class,13,15,2,13,21,1,0,27,0,0.25,1.0,1.0,4,1,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,16,154,3,1,2,0,0,79,3,9,0,8,3,0,1,0,129,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/materialize/ast/MaterializeSelect.java,sqlancer.materialize.ast.MaterializeSelect$MaterializeSubquery,innerclass,3,3,0,3,4,1,0,0,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,11,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/oracle/DorisPivotedQuerySynthesisOracle.java,sqlancer.doris.oracle.DorisPivotedQuerySynthesisOracle,class,22,23,1,22,19,2,0,54,34,0.7777778,0.16666667,0.16666667,9,0,1,5,3,0,4,0,0,0,1,0,0,1,0,0,0,0,10,107,11,1,2,0,0,7,4,21,3,21,2,0,0,3,80,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisBinaryLogicalOperation.java,sqlancer.doris.ast.DorisBinaryLogicalOperation$DorisBinaryLogicalOperator$Anonymous1,anonymous,1,1,0,1,9,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,31,7,0,0,0,0,2,0,2,2,2,2,0,0,0,12,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisBinaryLogicalOperation.java,sqlancer.doris.ast.DorisBinaryLogicalOperation$DorisBinaryLogicalOperator$Anonymous2,anonymous,1,1,0,1,9,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,31,7,0,0,0,0,2,0,2,2,2,2,0,0,0,12,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/citus/gen/CitusUpdateGenerator.java,sqlancer.citus.gen.CitusUpdateGenerator,class,4,4,0,4,2,1,0,3,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,2,0,2,0,0,0,0,17,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/hsqldb/HSQLDBProvider.java,sqlancer.hsqldb.HSQLDBProvider$Action,enum,4,4,0,4,2,1,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/databend/ast/DatabendBinaryLogicalOperation.java,sqlancer.databend.ast.DatabendBinaryLogicalOperation,class,7,10,3,7,8,2,0,8,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,89,6,0,2,0,0,0,0,2,0,2,1,0,1,0,37,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/presto/ast/PrestoAtTimeZoneOperator.java,sqlancer.presto.ast.PrestoAtTimeZoneOperator,class,2,4,2,2,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/gen/SQLite3ReindexGenerator.java,sqlancer.sqlite3.gen.SQLite3ReindexGenerator,class,5,5,0,5,6,1,0,13,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31,1,0,0,0,0,8,0,4,0,5,2,0,1,1,45,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/mysql/ast/MySQLCastOperation.java,sqlancer.mysql.ast.MySQLCastOperation$CastType,enum,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/cnosdb/oracle/tlp/CnosDBTLPAggregateOracle.java,sqlancer.cnosdb.oracle.tlp.CnosDBTLPAggregateOracle,class,24,26,2,24,32,3,0,54,34,0.86111116,0.0,0.0,9,0,2,6,1,0,3,0,0,0,4,0,0,4,0,0,0,0,16,117,7,2,8,2,0,12,3,28,6,25,2,0,0,0,82,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/common/ast/FunctionNode.java,sqlancer.common.ast.FunctionNode,class,2,11,9,2,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,2,0,1,0,3,0,0,0,2,0,0,0,2,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/cnosdb/ast/CnosDBAggregate.java,sqlancer.cnosdb.ast.CnosDBAggregate$CnosDBAggregateFunction,enum,3,3,0,3,9,1,0,13,4,0.4,0.3,0.3,5,1,4,0,0,1,5,0,0,0,1,0,0,1,0,0,1,0,8,61,5,0,3,0,0,0,2,2,0,4,1,7,0,2,42,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/duckdb/DuckDBSchema.java,sqlancer.duckdb.DuckDBSchema$DuckDBTable,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisOrderByTerm.java,sqlancer.doris.ast.DorisOrderByTerm,class,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/tidb/TiDBProvider.java,sqlancer.tidb.TiDBProvider$TiDBGlobalState,innerclass,2,2,0,2,1,2,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBCreateStatisticsGenerator.java,sqlancer.cockroachdb.gen.CockroachDBCreateStatisticsGenerator,class,3,3,0,3,3,1,0,11,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,4,0,2,0,3,1,0,0,1,31,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/timescaledb/TimescaleDBBugs.java,sqlancer.timescaledb.TimescaleDBBugs,class,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/mysql/MySQLToStringVisitor.java,sqlancer.mysql.MySQLToStringVisitor,class,23,26,3,23,49,2,0,61,151,0.8888889,0.006535948,0.006535948,18,0,18,0,0,0,18,0,0,0,1,0,0,0,0,1,0,0,1,216,1,7,12,0,0,68,14,9,0,10,3,0,0,0,65,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/hsqldb/ast/HSQLDBConstant.java,sqlancer.hsqldb.ast.HSQLDBConstant$HSQLDBBooleanConstant,innerclass,1,1,0,1,3,2,0,1,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,13,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/postgres/ast/PostgresPrefixOperation.java,sqlancer.postgres.ast.PostgresPrefixOperation$PrefixOperator,enum,2,2,0,2,4,1,0,2,6,0.75,0.0,0.0,4,0,2,0,1,1,4,2,0,0,2,0,0,2,0,0,0,0,0,52,1,0,0,0,0,3,0,2,0,2,0,3,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/mongodb/ast/MongoDBConstant.java,sqlancer.mongodb.ast.MongoDBConstant$MongoDBStringConstant,innerclass,2,2,0,2,6,2,0,2,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,21,4,0,0,0,0,8,0,1,1,1,0,0,0,0,15,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/questdb/test/QuestDBQueryPartitioningWhereTester.java,sqlancer.questdb.test.QuestDBQueryPartitioningWhereTester,class,5,6,1,5,2,3,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,0,0,0,0,0,7,0,7,0,0,0,0,33,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ycql/ast/YCQLConstant.java,sqlancer.yugabyte.ycql.ast.YCQLConstant$YCQLBooleanConstant,innerclass,1,1,0,1,3,2,0,1,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,11,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/common/oracle/PivotedQuerySynthesisBase.java,sqlancer.common.oracle.PivotedQuerySynthesisBase,class,12,15,3,12,15,1,0,21,9,0.7714286,0.2,0.2,7,0,1,1,5,0,6,3,1,0,5,0,0,0,5,0,3,0,0,61,1,2,1,1,0,11,0,10,0,11,2,0,0,0,131,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/stonedb/gen/StoneDBTableInsertGenerator.java,sqlancer.stonedb.gen.StoneDBTableInsertGenerator,class,9,10,1,9,22,2,0,36,21,0.6818182,1.0,1.0,11,1,2,8,1,0,3,0,0,0,4,0,0,3,0,1,3,0,3,98,3,2,2,0,0,29,6,9,1,8,2,0,0,0,69,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/YSQLSchema.java,sqlancer.yugabyte.ysql.YSQLSchema$YSQLTable$TableType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/gen/ddl/SQLite3DropIndexGenerator.java,sqlancer.sqlite3.gen.ddl.SQLite3DropIndexGenerator,class,2,2,0,2,3,1,0,7,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,3,0,2,0,2,1,0,0,0,41,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/mysql/MySQLSchema.java,sqlancer.mysql.MySQLSchema$MySQLTable,innerclass,4,4,0,4,3,2,0,4,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,21,2,0,0,0,0,0,0,1,0,2,0,0,1,1,35,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/oceanbase/ast/OceanBaseUnaryPrefixOperation.java,sqlancer.oceanbase.ast.OceanBaseUnaryPrefixOperation$OceanBaseUnaryPrefixOperator,enum,2,2,0,2,4,1,0,3,4,0.5,0.16666667,0.16666667,4,1,3,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0,1,41,2,0,0,0,0,4,0,1,0,1,0,3,0,0,27,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/ast/SQLite3Expression.java,sqlancer.sqlite3.ast.SQLite3Expression,class,8,64,56,8,19,19,50,3,10,0.0,0.0,0.0,5,1,5,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1171,4,0,14,0,2,0,0,6,0,2,2,0,21,0,154,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/ast/YSQLFunction.java,sqlancer.yugabyte.ysql.ast.YSQLFunction$YSQLFunctionWithResult$Anonymous1,anonymous,3,3,0,3,5,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,16,4,0,1,0,0,0,2,0,0,0,1,0,0,0,19,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBConstant.java,sqlancer.cockroachdb.ast.CockroachDBConstant$CockroachDBNullConstant,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/presto/PrestoSchema.java,sqlancer.presto.PrestoSchema$PrestoDataType,enum,3,3,0,3,15,1,0,6,55,0.0,0.3090909,0.5090909,11,8,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,46,12,1,1,0,0,0,0,1,0,1,1,0,0,0,25,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/mongodb/MongoDBSchema.java,sqlancer.mongodb.MongoDBSchema,class,8,12,4,8,3,5,0,2,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,4,0,46,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/questdb/gen/QuestDBAlterIndexGenerator.java,sqlancer.questdb.gen.QuestDBAlterIndexGenerator$Action,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/gen/ddl/SQLite3TableGenerator.java,sqlancer.sqlite3.gen.ddl.SQLite3TableGenerator,class,12,14,2,12,44,1,0,46,0,0.62857145,1.0,1.0,7,2,4,3,0,0,4,0,0,0,10,0,0,10,0,0,6,0,8,168,2,8,4,0,0,45,11,33,3,31,3,0,0,1,102,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/cnosdb/ast/CnosDBConstant.java,sqlancer.cnosdb.ast.CnosDBConstant$DoubleConstant,innerclass,3,3,0,3,12,2,0,12,9,0.42857143,0.2857143,0.2857143,7,0,6,0,1,0,7,0,0,0,1,0,0,1,0,0,1,0,6,46,11,0,1,0,0,0,1,2,0,2,1,0,0,0,26,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/schema/SQLite3Schema.java,sqlancer.sqlite3.schema.SQLite3Schema$SQLite3RowValue,innerclass,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
