file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisInOperation.java,sqlancer.doris.ast.DorisInOperation,"DorisInOperation/3[sqlancer.doris.ast.DorisExpression,java.util.List<sqlancer.doris.ast.DorisExpression>,boolean]",rightExpr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisInOperation.java,sqlancer.doris.ast.DorisInOperation,"DorisInOperation/3[sqlancer.doris.ast.DorisExpression,java.util.List<sqlancer.doris.ast.DorisExpression>,boolean]",leftExpr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisInOperation.java,sqlancer.doris.ast.DorisInOperation,getExpectedValue/0,rightExpr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisInOperation.java,sqlancer.doris.ast.DorisInOperation,getExpectedValue/0,leftExpr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/ast/SQLite3RowValueExpression.java,sqlancer.sqlite3.ast.SQLite3RowValueExpression,SQLite3RowValueExpression/1[java.util.List<sqlancer.sqlite3.ast.SQLite3Expression>],expressions,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/ast/SQLite3RowValueExpression.java,sqlancer.sqlite3.ast.SQLite3RowValueExpression,getExpressions/0,expressions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/ast/SQLite3RowValueExpression.java,sqlancer.sqlite3.ast.SQLite3RowValueExpression,getExplicitCollateSequence/0,expressions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/presto/ast/PrestoConstant.java,sqlancer.presto.ast.PrestoConstant$PrestoJsonConstant,PrestoJsonConstant/0,value,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/presto/ast/PrestoConstant.java,sqlancer.presto.ast.PrestoConstant$PrestoJsonConstant,getValue/0,value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/presto/ast/PrestoConstant.java,sqlancer.presto.ast.PrestoConstant$PrestoJsonConstant,toString/0,value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/ast/YSQLOrderByTerm.java,sqlancer.yugabyte.ysql.ast.YSQLOrderByTerm,getOrder/0,order,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/ast/YSQLOrderByTerm.java,sqlancer.yugabyte.ysql.ast.YSQLOrderByTerm,"YSQLOrderByTerm/2[sqlancer.yugabyte.ysql.ast.YSQLExpression,sqlancer.yugabyte.ysql.ast.YSQLOrderByTerm.YSQLOrder]",expr,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/ast/YSQLOrderByTerm.java,sqlancer.yugabyte.ysql.ast.YSQLOrderByTerm,"YSQLOrderByTerm/2[sqlancer.yugabyte.ysql.ast.YSQLExpression,sqlancer.yugabyte.ysql.ast.YSQLOrderByTerm.YSQLOrder]",order,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/ast/YSQLOrderByTerm.java,sqlancer.yugabyte.ysql.ast.YSQLOrderByTerm,getExpr/0,expr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,getActions/1[sqlancer.common.query.ExpectedErrors],randomTable,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,"YSQLAlterTableGenerator/2[sqlancer.yugabyte.ysql.YSQLSchema.YSQLTable,sqlancer.yugabyte.ysql.YSQLGlobalState]",globalState,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,"YSQLAlterTableGenerator/2[sqlancer.yugabyte.ysql.YSQLSchema.YSQLTable,sqlancer.yugabyte.ysql.YSQLGlobalState]",randomTable,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,"YSQLAlterTableGenerator/2[sqlancer.yugabyte.ysql.YSQLSchema.YSQLTable,sqlancer.yugabyte.ysql.YSQLGlobalState]",r,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,generate/0,globalState,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,generate/0,randomTable,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,generate/0,r,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,"create/2[sqlancer.yugabyte.ysql.YSQLSchema.YSQLTable,sqlancer.yugabyte.ysql.YSQLGlobalState]",globalState,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/yugabyte/ysql/gen/YSQLAlterTableGenerator.java,sqlancer.yugabyte.ysql.gen.YSQLAlterTableGenerator,"create/2[sqlancer.yugabyte.ysql.YSQLSchema.YSQLTable,sqlancer.yugabyte.ysql.YSQLGlobalState]",randomTable,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/materialize/ast/MaterializeSelect.java,sqlancer.materialize.ast.MaterializeSelect$MaterializeSubquery,"MaterializeSubquery/2[sqlancer.materialize.ast.MaterializeSelect,java.lang.String]",s,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/materialize/ast/MaterializeSelect.java,sqlancer.materialize.ast.MaterializeSelect$MaterializeSubquery,"MaterializeSubquery/2[sqlancer.materialize.ast.MaterializeSelect,java.lang.String]",name,3
