file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/stonedb/oracle/StoneDBQueryPartitioningDistinctTester.java,sqlancer.stonedb.oracle.StoneDBQueryPartitioningDistinctTester,check/0,false,17,2,2,0,2,2,8,19,0,7,0,8,0,0,0,0,0,0,0,0,7,0,1,0,0,0,21,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/stonedb/oracle/StoneDBQueryPartitioningDistinctTester.java,sqlancer.stonedb.oracle.StoneDBQueryPartitioningDistinctTester,StoneDBQueryPartitioningDistinctTester/1[sqlancer.stonedb.StoneDBProvider.StoneDBGlobalState],true,12,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/test/sqlancer/qpg/sqlite/TestSQLiteQPG.java,sqlancer.qpg.sqlite.TestSQLiteQPG,testSqliteQPG/0,false,13,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,23,1,0,0,0,0,0,0,15,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisInOperation.java,sqlancer.doris.ast.DorisInOperation,getExpectedType/0,false,21,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisInOperation.java,sqlancer.doris.ast.DorisInOperation,"DorisInOperation/3[sqlancer.doris.ast.DorisExpression,java.util.List<sqlancer.doris.ast.DorisExpression>,boolean]",true,14,2,2,0,2,1,2,5,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/doris/ast/DorisInOperation.java,sqlancer.doris.ast.DorisInOperation,getExpectedValue/0,false,26,2,7,0,7,9,8,26,6,3,0,8,0,0,1,2,0,0,0,0,4,0,2,0,0,0,17,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/oceanbase/OceanBaseUserCheckException.java,sqlancer.oceanbase.OceanBaseUserCheckException,OceanBaseUserCheckException/1[java.lang.String],true,7,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/ast/SQLite3RowValueExpression.java,sqlancer.sqlite3.ast.SQLite3RowValueExpression,SQLite3RowValueExpression/1[java.util.List<sqlancer.sqlite3.ast.SQLite3Expression>],true,11,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/ast/SQLite3RowValueExpression.java,sqlancer.sqlite3.ast.SQLite3RowValueExpression,getExpressions/0,false,15,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlancer/../../sqlancer/src/sqlancer/sqlite3/ast/SQLite3RowValueExpression.java,sqlancer.sqlite3.ast.SQLite3RowValueExpression,getExplicitCollateSequence/0,false,20,2,1,0,1,3,1,9,2,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,12,1,0,false
