file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,setNativeSupport/1[io.xream.sqli.core.NativeSupport],nativeSupport,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,newInstance/0,instance,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,"list/2[java.lang.String,java.util.List<java.lang.Object>]",nativeSupport,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,"execute/2[java.lang.String,java.lang.Object[]]",nativeSupport,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/builder/JoinType.java,io.xream.sqli.builder.JoinType,JoinType/1[java.lang.String],sql,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/builder/JoinType.java,io.xream.sqli.builder.JoinType,sql/0,sql,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/starter/InitializerListener.java,io.xream.sqli.starter.InitializerListener,"onStarted/3[io.xream.sqli.core.NativeSupport,io.xream.sqli.repository.init.SqlInit,io.xream.sqli.spi.Schema]",instance,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/starter/InitializerListener.java,io.xream.sqli.starter.InitializerListener,"onStarted/3[io.xream.sqli.core.NativeSupport,io.xream.sqli.repository.init.SqlInit,io.xream.sqli.spi.Schema]",logger,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/builder/Q.java,io.xream.sqli.builder.Q$X,getAggrList/0,aggrList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/builder/Q.java,io.xream.sqli.builder.Q$X,setSourceScript/1[java.lang.String],sourceScript,3
